"provided","standard"
"#country+name","#country+name"
"France","France"
"United Kingdom","United Kingdom"
"Italy","Italy"
"Latvia","Latvia"
"Switzerland","Switzerland"
"Netherlands","Netherlands"
"Germany","Germany"
"Spain","Spain"
"Portugal","Portugal"
"Hungary","Hungary"
"Austria","Austria"
"Belgium","Belgium"
"Liechtenstein","Liechtenstein"
"Slovakia","Slovakia"
"Malta","Malta"
"Ireland","Ireland"
"Norway","Norway"
"Andorra","Andorra"
"Belarus","Belarus"
"Bosnia and Herzegovina","Bosnia and Herzegovina"
"Croatia","Croatia"
"Cyprus","Cyprus"
"Denmark","Denmark"
"Estonia","Estonia"
"Greece","Greece"
"Lithuania","Lithuania"
"Moldova","Moldova"
"San Marino","San Marino"
"Serbia","Serbia"
"Slovenia","Slovenia"
"Sweden","Sweden"
"Turkey","Turkey"
"Albania","Albania"
"Ukraine","Ukraine"
"Finland","Finland"
"Romania","Romania"
"Czech Republic","Czech Republic"
"Iceland","Iceland"
"Luxembourg","Luxembourg"
"Monaco","Monaco"
"Montenegro","Montenegro"
"Russian Fed.","Russian Fed."
"Bulgaria","Bulgaria"
"Poland","Poland"
"North Macedonia","North Macedonia"
