"","provided","standard"
"1","#country+code+iso3",NA
"2","FRA","FRA"
"3","GBR","GBR"
"4","ITA","ITA"
"5","LVA","LVA"
"6","CHE","CHE"
"7","NLD","NLD"
"8","DEU","DEU"
"9","ESP","ESP"
"10","PRT","PRT"
"11","HUN","HUN"
"12","AUT","AUT"
"13","BEL","BEL"
"14","LIE","LIE"
"15","SVK","SVK"
"16","MLT","MLT"
"17","IRL","IRL"
"18","NOR","NOR"
"19","AND","AND"
"20","BLR","BLR"
"21","BIH","BIH"
"22","HRV","HRV"
"23","CYP","CYP"
"24","DNK","DNK"
"25","EST","EST"
"26","GRC","GRC"
"27","LTU","LTU"
"28","MDA","MDA"
"29","SMR","SMR"
"30","SRB","SRB"
"31","SVN","SVN"
"32","SWE","SWE"
"33","TUR","TUR"
"34","ALB","ALB"
"35","UKR","UKR"
"36","FIN","FIN"
"37","ROU","ROU"
"38","CZE","CZE"
"39","ISL","ISL"
"40","LUX","LUX"
"41","MCO","MCO"
"42","MNE","MNE"
"43","RUS","RUS"
"44","BGR","BGR"
"45","POL","POL"
"46","MKD","MKD"
