"provided","standard"
"#geo+lat",NA
"48.709229","48.709229"
"45.479897","45.479897"
"54.022719","54.022719"
"51.291417","51.291417"
"45.283026","45.283026"
"51.497136","51.497136"
"45.622479","45.622479"
"56.875584","56.875584"
"45.664735","45.664735"
"44.536563","44.536563"
"41.981132","41.981132"
"45.060965","45.060965"
NA,NA
"46.697344","46.697344"
"44.144781","44.144781"
"37.587635","37.587635"
"43.459993","43.459993"
"46.297963","46.297963"
"43.366624","43.366624"
"46.217114","46.217114"
"42.228034","42.228034"
"41.059945","41.059945"
"40.984631","40.984631"
"51.527534","51.527534"
"47.417407","47.417407"
"52.718351","52.718351"
"54.787715","54.787715"
"47.234197","47.234197"
"48.181767","48.181767"
"48.688738","48.688738"
"49.96966","49.96966"
"43.703195","43.703195"
"47.479115","47.479115"
"39.225585","39.225585"
"52.551824","52.551824"
"47.410914","47.410914"
"47.441812","47.441812"
"46.825006","46.825006"
"46.211633","46.211633"
"52.302413","52.302413"
"48.537648","48.537648"
"48.947574","48.947574"
"50.603242","50.603242"
"51.479706","51.479706"
"49.50932","49.50932"
"54.0295","54.0295"
"51.968696","51.968696"
"37.46363","37.46363"
"28.291062","28.291062"
"43.196326","43.196326"
"41.751205","41.751205"
"41.798","41.798"
"40.494962","40.494962"
"39.613452","39.613452"
"43.032149","43.032149"
"43.292312","43.292312"
"52.248898","52.248898"
"51.239761","51.239761"
"53.108678","53.108678"
"53.54464","53.54464"
"52.765527","52.765527"
"46.155667","46.155667"
"42.966781","42.966781"
"52.863149","52.863149"
"39.254442","39.254442"
"47.561925","47.561925"
"46.710334","46.710334"
"53.524488","53.524488"
"48.880101","48.880101"
"43.956994","43.956994"
"52.501532","52.501532"
"52.078728","52.078728"
"42.667549","42.667549"
"39.390435","39.390435"
"39.191409","39.191409"
"42.275075","42.275075"
"56.490671","56.490671"
"16.192207","16.192207"
"53.109014","53.109014"
"51.052334","51.052334"
"50.903878","50.903878"
"40.500665","40.500665"
"41.597834","41.597834"
"40.090225","40.090225"
"46.139153","46.139153"
"40.111812","40.111812"
"38.623843","38.623843"
"41.457206","41.457206"
"47.368327","47.368327"
"47.305025","47.305025"
"47.161402","47.161402"
"53.721962","53.721962"
"49.384368","49.384368"
"47.164638","47.164638"
"52.061726","52.061726"
"41.519884","41.519884"
"35.895759","35.895759"
"42.757079","42.757079"
"38.002069","38.002069"
"47.164696","47.164696"
"47.721853","47.721853"
"46.715832","46.715832"
"48.27051","48.27051"
"47.254051","47.254051"
"47.187361","47.187361"
"47.209023","47.209023"
"48.21141","48.21141"
"50.836426","50.836426"
"51.036569","51.036569"
"50.312074","50.312074"
"47.751569","47.751569"
"42.151732","42.151732"
"3.926082","3.926082"
"45.732414","45.732414"
"52.436257","52.436257"
"51.207579","51.207579"
"52.445136","52.445136"
"47.387404","47.387404"
"48.138166","48.138166"
"47.240149","47.240149"
"14.63554","14.63554"
"48.319003","48.319003"
"47.336648","47.336648"
"46.56176","46.56176"
"47.541449","47.541449"
"35.946151","35.946151"
"51.312779","51.312779"
"53.089388","53.089388"
"53.291466","53.291466"
"37.218389","37.218389"
"48.771358","48.771358"
"49.178517","49.178517"
"52.013193","52.013193"
"53.41975","53.41975"
"58.699661","58.699661"
"61.43354","61.43354"
"62.543569","62.543569"
"66.679716","66.679716"
"59.979683","59.979683"
"58.58709","58.58709"
"70.239335","70.239335"
"63.421183","63.421183"
"59.493612","59.493612"
"60.952729","60.952729"
"60.020274","60.020274"
"42.542268","42.542268"
"53.711111","53.711111"
"43.892652","43.892652"
"45.742196","45.742196"
"45.203521","45.203521"
"45.367738","45.367738"
"46.250434","46.250434"
"35.167406","35.167406"
"62.194921","62.194921"
"56.031924","56.031924"
"58.596209","58.596209"
"-20.89066","-20.89066"
"55.174112","55.174112"
"46.979527","46.979527"
"43.942973","43.942973"
"44.206802","44.206802"
"46.145528","46.145528"
"56.279696","56.279696"
"61.440899","61.440899"
"56.953555","56.953555"
"63.251956","63.251956"
"57.499911","57.499911"
"57.245033","57.245033"
"56.786938","56.786938"
"66.954122","66.954122"
"59.350249","59.350249"
"55.948711","55.948711"
"59.077751","59.077751"
"59.370877","59.370877"
"60.039134","60.039134"
"59.768908","59.768908"
"64.862069","64.862069"
"63.096635","63.096635"
"58.303302","58.303302"
"46.922198","46.922198"
"38.961515","38.961515"
"55.426356","55.426356"
"55.572787","55.572787"
"56.228968","56.228968"
"56.211063","56.211063"
"57.299016","57.299016"
"55.88154","55.88154"
"55.666656","55.666656"
"55.946009","55.946009"
"60.29623","60.29623"
"56.610323","56.610323"
"55.675758","55.675758"
"56.302139","56.302139"
"56.830742","56.830742"
"55.92481","55.92481"
"49.126441","49.126441"
"48.858564","48.858564"
"46.775402","46.775402"
"41.268583","41.268583"
"45.365583","45.365583"
"38.116381","38.116381"
"37.997492","37.997492"
"37.920984","37.920984"
"37.73","37.73"
"38.555118","38.555118"
"35.138839","35.138839"
"40.461316","40.461316"
"40.381888","40.381888"
"39.074583","39.074583"
"37.496654","37.496654"
"41.09138","41.09138"
"40.687597","40.687597"
"37.785045","37.785045"
"48.51568","48.51568"
"48.222651","48.222651"
"35.298249","35.298249"
"60.952955","60.952955"
"57.487051","57.487051"
"58.354622","58.354622"
"46.857772","46.857772"
"48.269841","48.269841"
"50.642612","50.642612"
"-12.824511","-12.824511"
"48.140652","48.140652"
"47.308617","47.308617"
"37.775525","37.775525"
"41.040028","41.040028"
"40.774633","40.774633"
"45.292126","45.292126"
"45.56139","45.56139"
"39.810149","39.810149"
"39.701311","39.701311"
"40.257022","40.257022"
"38.092941","38.092941"
"59.801595","59.801595"
"47.567205","47.567205"
"50.427074","50.427074"
"55.076034","55.076034"
"57.363501","57.363501"
"45.142404","45.142404"
"44.347845","44.347845"
"61.217899","61.217899"
"62.833356","62.833356"
"61.813578","61.813578"
"60.408524","60.408524"
"60.921424","60.921424"
"63.626887","63.626887"
"62.629133","62.629133"
"66.133479","66.133479"
"67.847438","67.847438"
"61.217271","61.217271"
"61.715017","61.715017"
"62.918285","62.918285"
"64.217762","64.217762"
"63.173162","63.173162"
"61.527072","61.527072"
"63.077479","63.077479"
"60.590424","60.590424"
"41.025631","41.025631"
"37.094459","37.094459"
"46.980518","46.980518"
"49.093362","49.093362"
"49.079446","49.079446"
"50.170136","50.170136"
"50.385055","50.385055"
"50.732038","50.732038"
"49.780617","49.780617"
"49.823636","49.823636"
"49.877869","49.877869"
"49.590906","49.590906"
"50.063699","50.063699"
"50.101074","50.101074"
"50.488308","50.488308"
"49.40736","49.40736"
"49.239654","49.239654"
"41.064778","41.064778"
"39.21647","39.21647"
"64.155049","64.155049"
"65.534498","65.534498"
"65.367006","65.367006"
"64.135334","64.135334"
"63.930366","63.930366"
"49.815764","49.815764"
"43.738348","43.738348"
"42.710152","42.710152"
"38.485499","38.485499"
"32.736252","32.736252"
"46.658176","46.658176"
"47.06883","47.06883"
"39.245971","39.245971"
"36.918108","36.918108"
"41.168776","41.168776"
"42.662368","42.662368"
"46.066232","46.066232"
"43.89492","43.89492"
"43.613438","43.613438"
"45.82762","45.82762"
"36.184828","36.184828"
"41.053007","41.053007"
"63.448461","63.448461"
"50.881793","50.881793"
"55.507419","55.507419"
"56.999219","56.999219"
"54.706026","54.706026"
"54.355521","54.355521"
"54.775411","54.775411"
"50.88285","50.88285"
"53.363558","53.363558"
"61.853095","61.853095"
"58.699332","58.699332"
"64.131117","64.131117"
"44.412298","44.412298"
"67.008246","67.008246"
"59.999111","59.999111"
"52.634465","52.634465"
"55.644315","55.644315"
"67.805244","67.805244"
"56.279395","56.279395"
"55.268094","55.268094"
"52.670841","52.670841"
"53.186558","53.186558"
"59.150725","59.150725"
"54.306865","54.306865"
"59.771022","59.771022"
"53.288173","53.288173"
"51.590364","51.590364"
"58.614763","58.614763"
"52.657489","52.657489"
"55.380928","55.380928"
"58.476777","58.476777"
"53.879118","53.879118"
"57.063361","57.063361"
"57.665236","57.665236"
"53.904749","53.904749"
"50.959752","50.959752"
