"provided","standard"
"#geo+lon",NA
"2.503473","2.503473"
"0.410462","0.410462"
"-1.268789","-1.268789"
"-0.521902","-0.521902"
"4.624017","4.624017"
"-0.100571","-0.100571"
"9.770824","9.770824"
"24.607722","24.607722"
"11.84235","11.84235"
"11.019909","11.019909"
"12.767224","12.767224"
"7.926836","7.926836"
NA,NA
"11.417082","11.417082"
"8.140492","8.140492"
"14.155497","14.155497"
"11.136697","11.136697"
"8.808447","8.808447"
"13.106678","13.106678"
"6.131255","6.131255"
"13.855137","13.855137"
"14.785097","14.785097"
"16.620464","16.620464"
"5.590194","5.590194"
"8.655988","8.655988"
"-1.45667","-1.45667"
"-6.492314","-6.492314"
"4.806917","4.806917"
"-2.840778","-2.840778"
"5.613275","5.613275"
"2.770434","2.770434"
"2.143601","2.143601"
"-0.811996","-0.811996"
"16.418474","16.418474"
"4.876581","4.876581"
"8.159107","8.159107"
"7.7644","7.7644"
"7.626925","7.626925"
"7.611267","7.611267"
"-3.738347","-3.738347"
"9.049199","9.049199"
"11.419913","11.419913"
"9.031057","9.031057"
"7.56208","7.56208"
"7.909356","7.909356"
"9.705555","9.705555"
"4.541274","4.541274"
"-4.573552","-4.573552"
"-16.55631","-16.55631"
"-4.034401","-4.034401"
"-4.788185","-4.788185"
"1.528534","1.528534"
"-3.716057","-3.716057"
"2.956607","2.956607"
"-2.62166","-2.62166"
"-5.992988","-5.992988"
"0.548756","0.548756"
"-2.54375","-2.54375"
"8.785951","8.785951"
"10.027798","10.027798"
"9.162019","9.162019"
"13.058636","13.058636"
"12.49094","12.49094"
"6.623756","6.623756"
"-3.160863","-3.160863"
"7.592768","7.592768"
"7.09922","7.09922"
"-2.333125","-2.333125"
"-0.073045","-0.073045"
"6.062951","6.062951"
"13.40185","13.40185"
"5.214048","5.214048"
"-1.647658","-1.647658"
"-0.543007","-0.543007"
"-6.150692","-6.150692"
"-2.517177","-2.517177"
"-4.202646","-4.202646"
"-61.272382","-61.272382"
"12.140724","12.140724"
"13.348561","13.348561"
"11.02488","11.02488"
"16.082246","16.082246"
"14.548702","14.548702"
"9.036223","9.036223"
"10.830791","10.830791"
"-8.012768","-8.012768"
"-8.88436","-8.88436"
"-7.678153","-7.678153"
"7.198733","7.198733"
"9.019368","9.019368"
"8.538864","8.538864"
"12.496035","12.496035"
"6.953135","6.953135"
"19.508944","19.508944"
"5.945178","5.945178"
"-0.660302","-0.660302"
"-5.358194","-5.358194"
"-7.910384","-7.910384"
"-1.485219","-1.485219"
"9.555","9.555"
"8.563863","8.563863"
"14.455532","14.455532"
"15.763245","15.763245"
"13.032653","13.032653"
"15.518046","15.518046"
"11.397603","11.397603"
"16.380038","16.380038"
"4.367415","4.367415"
"4.234165","4.234165"
"5.019093","5.019093"
"1.675063","1.675063"
"9.105559","9.105559"
"-53.245309","-53.245309"
"7.393651","7.393651"
"5.519078","5.519078"
"5.936318","5.936318"
"6.4476","6.4476"
"9.413371","9.413371"
"13.964295","13.964295"
"9.896366","9.896366"
"-61.022814","-61.022814"
"17.17481","17.17481"
"7.686944","7.686944"
"6.648929","6.648929"
"16.520206","16.520206"
"14.384612","14.384612"
"3.786651","3.786651"
"5.871457","5.871457"
"6.700488","6.700488"
"-8.198488","-8.198488"
"20.721931","20.721931"
"19.167163","19.167163"
"11.700691","11.700691"
"-8.240472","-8.240472"
"7.618403","7.618403"
"10.427144","10.427144"
"8.540539","8.540539"
"14.635752","14.635752"
"10.738335","10.738335"
"6.206792","6.206792"
"26.12935","26.12935"
"11.529951","11.529951"
"8.722188","8.722188"
"6.513828","6.513828"
"9.849655","9.849655"
"1.596865","1.596865"
"27.973847","27.973847"
"17.670584","17.670584"
"16.008116","16.008116"
"13.895312","13.895312"
"14.701448","14.701448"
"16.293818","16.293818"
"33.435499","33.435499"
"-7.096614","-7.096614"
"9.317572","9.317572"
"25.023778","25.023778"
"55.455054","55.455054"
"23.906736","23.906736"
"28.377195","28.377195"
"12.460035","12.460035"
"20.911009","20.911009"
"14.974542","14.974542"
"15.193246","15.193246"
"16.291105","16.291105"
"12.842898","12.842898"
"14.312747","14.312747"
"14.436577","14.436577"
"16.053939","16.053939"
"14.574736","14.574736"
"20.083057","20.083057"
"14.974992","14.974992"
"13.596415","13.596415"
"16.685977","16.685977"
"17.711874","17.711874"
"17.672887","17.672887"
"13.153806","13.153806"
"17.819194","17.819194"
"17.251241","17.251241"
"12.891496","12.891496"
"8.419375","8.419375"
"35.25175","35.25175"
"-4.533604","-4.533604"
"-2.786355","-2.786355"
"-3.118568","-3.118568"
"-4.237248","-4.237248"
"-2.780773","-2.780773"
"-4.438215","-4.438215"
"-3.832477","-3.832477"
"-2.728265","-2.728265"
"-1.346738","-1.346738"
"-3.555213","-3.555213"
"12.56902","12.56902"
"9.302777","9.302777"
"9.493053","9.493053"
"11.67126","11.67126"
"21.221321","21.221321"
"18.202196","18.202196"
"8.627444","8.627444"
"19.793936","19.793936"
"16.424137","16.424137"
"21.862704","21.862704"
"23.762727","23.762727"
"23.858621","23.858621"
"21.56521","21.56521"
"23.793427","23.793427"
"25.118682","25.118682"
"21.154636","21.154636"
"21.628163","21.628163"
"26.223748","26.223748"
"23.343615","23.343615"
"23.52362","23.52362"
"23.115933","23.115933"
"20.774553","20.774553"
"19.499999","19.499999"
"17.707847","17.707847"
"-2.948653","-2.948653"
"14.350603","14.350603"
"18.510063","18.510063"
"15.661533","15.661533"
"8.209745","8.209745"
"25.97109","25.97109"
"28.484557","28.484557"
"45.165455","45.165455"
"18.30311","18.30311"
"9.403544","9.403544"
"-25.494927","-25.494927"
"20.186454","20.186454"
"19.620528","19.620528"
"15.46427","15.46427"
"18.442456","18.442456"
"20.805055","20.805055"
"22.39723","22.39723"
"22.439796","22.439796"
"23.395355","23.395355"
"16.318208","16.318208"
"9.112572","9.112572"
"30.530672","30.530672"
"-3.953164","-3.953164"
"-4.733034","-4.733034"
"17.821388","17.821388"
"15.959404","15.959404"
"28.550289","28.550289"
"23.05691","23.05691"
"27.347685","27.347685"
"24.7817","24.7817"
"24.354383","24.354383"
"24.066596","24.066596"
"25.476526","25.476526"
"24.762611","24.762611"
"26.444542","26.444542"
"25.721465","25.721465"
"23.913902","23.913902"
"29.941761","29.941761"
"25.29512","25.29512"
"27.465765","27.465765"
"22.157717","22.157717"
"22.196054","22.196054"
"22.623677","22.623677"
"22.75541","22.75541"
"21.774146","21.774146"
"9.065544","9.065544"
"14.439278","14.439278"
"16.663916","16.663916"
"12.763213","12.763213"
"15.865137","15.865137"
"14.973755","14.973755"
"18.000931","18.000931"
"17.016472","17.016472"
"16.495746","16.495746"
"13.23222","13.23222"
"14.476403","14.476403"
"15.003747","15.003747"
"13.816736","13.816736"
"15.689937","15.689937"
"17.770218","17.770218"
"26.12942","26.12942"
"22.704791","22.704791"
"-21.636153","-21.636153"
"-17.118685","-17.118685"
"-19.676714","-19.676714"
"-19.242939","-19.242939"
"-22.310028","-22.310028"
"6.131514","6.131514"
"7.424451","7.424451"
"19.410069","19.410069"
"-8.006668","-8.006668"
"-16.972663","-16.972663"
"9.629923","9.629923"
"8.116991","8.116991"
"21.103804","21.103804"
"22.710877","22.710877"
"24.88364","24.88364"
"18.15083","18.15083"
"16.571467","16.571467"
"16.07332","16.07332"
"16.730085","16.730085"
"16.381796","16.381796"
"27.952756","27.952756"
"24.573321","24.573321"
"43.404188","43.404188"
"37.359083","37.359083"
"47.102483","47.102483"
"41.726645","41.726645"
"21.456853","21.456853"
"35.465025","35.465025"
"87.209993","87.209993"
"138.828598","138.828598"
"89.854091","89.854091"
"70.345732","70.345732"
"49.846004","49.846004"
"54.772128","54.772128"
"39.233582","39.233582"
"95.991218","95.991218"
"31.74764","31.74764"
"39.187179","39.187179"
"37.666104","37.666104"
"34.572247","34.572247"
"44.645749","44.645749"
"79.765183","79.765183"
"53.546526","53.546526"
"44.659811","44.659811"
"56.240625","56.240625"
"40.654571","40.654571"
"30.094098","30.094098"
"50.470943","50.470943"
"46.830634","46.830634"
"61.561667","61.561667"
"41.637192","41.637192"
"50.93665","50.93665"
"82.134382","82.134382"
"37.584039","37.584039"
"34.74855","34.74855"
"69.167506","69.167506"
"47.963072","47.963072"
"40.309955","40.309955"
"134.148224","134.148224"
"39.167901","39.167901"
"116.196137","116.196137"
"6.782288","6.782288"
"8.761568","8.761568"
"33.952679","33.952679"
"37.669412","37.669412"
"24.609296","24.609296"
"30.727949","30.727949"
"-21.86654","-21.86654"
"60.413177","60.413177"
"64.816337","64.816337"
"20.666004","20.666004"
"23.424299","23.424299"
"27.306892","27.306892"
"27.936751","27.936751"
"25.247163","25.247163"
"24.5688","24.5688"
"23.192363","23.192363"
"24.140941","24.140941"
"22.853171","22.853171"
"24.610919","24.610919"
"24.824903","24.824903"
"27.004814","27.004814"
"24.668089","24.668089"
"23.616846","23.616846"
"25.567329","25.567329"
"27.59493","27.59493"
"25.649275","25.649275"
"-42.177174","-42.177174"
"-21.691436","-21.691436"
"16.381483","16.381483"
"18.502175","18.502175"
"19.408271","19.408271"
"22.908895","22.908895"
"15.345515","15.345515"
"20.300847","20.300847"
"21.081201","21.081201"
"17.876844","17.876844"
"22.225966","22.225966"
"22.895092","22.895092"
"18.012613","18.012613"
"18.999987","18.999987"
"20.797295","20.797295"
"20.758506","20.758506"
"17.248218","17.248218"
"15.634824","15.634824"
"43.521389","43.521389"
"34.380235","34.380235"
"43.400088","43.400088"
"52.811319","52.811319"
"23.921202","23.921202"
"25.640005","25.640005"
"19.651766","19.651766"
"19.719451","19.719451"
"19.793592","19.793592"
"16.976657","16.976657"
"15.422344","15.422344"
"22.327779","22.327779"
"20.375076","20.375076"
"21.598219","21.598219"
"33.406285","33.406285"
"32.556615","32.556615"
"31.378329","31.378329"
"20.090775","20.090775"
"20.419467","20.419467"
"19.845695","19.845695"
"22.869974","22.869974"
"16.508315","16.508315"
"-15.743398","-15.743398"
"15.919072","15.919072"
"18.877963","18.877963"
"20.647757","20.647757"
"56.528301","56.528301"
"112.36994","112.36994"
"45.799182","45.799182"
"36.484837","36.484837"
"134.763918","134.763918"
"29.258821","29.258821"
"41.33971","41.33971"
"44.184682","44.184682"
"39.307815","39.307815"
"30.547979","30.547979"
"24.883489","24.883489"
"35.699543","35.699543"
"25.942349","25.942349"
"25.441477","25.441477"
"26.241026","26.241026"
"19.966666","19.966666"
"28.846114","28.846114"
"28.743748","28.743748"
"26.889951","26.889951"
"22.863975","22.863975"
"21.428093","21.428093"
"25.627696","25.627696"
"21.751417","21.751417"
"33.577394","33.577394"
"28.692087","28.692087"
"24.181932","24.181932"
"24.62573","24.62573"
"26.397584","26.397584"
"23.281219","23.281219"
"23.088513","23.088513"
"26.112308","26.112308"
"20.574409","20.574409"
"23.552648","23.552648"
"40.254013","40.254013"
"127.711639","127.711639"
"46.873874","46.873874"
"106.290867","106.290867"
"43.818089","43.818089"
"45.58471","45.58471"
"73.362497","73.362497"
"142.702744","142.702744"
"33.012683","33.012683"
"32.016707","32.016707"
"36.514406","36.514406"
"26.987133","26.987133"
"31.706007","31.706007"
"33.811322","33.811322"
"33.665627","33.665627"
"19.751814","19.751814"
"22.70582","22.70582"
"22.128273","22.128273"
"32.262317","32.262317"
"24.094376","24.094376"
"83.868816","83.868816"
"45.383808","45.383808"
"47.942953","47.942953"
"40.691957","40.691957"
