"provided","standard"
"#adm1+name",NA
"Île-de-France","Île-de-France"
"Nouvelle-Aquitaine","Nouvelle-Aquitaine"
"North East and Yorkshire","North East and Yorkshire"
"South East","South East"
"Auvergne-Rhône-Alpes","Auvergne-Rhône-Alpes"
"London","London"
"Lombardia","Lombardia"
"Latvia","Latvia"
"Veneto","Veneto"
"Emilia-Romagna","Emilia-Romagna"
"Lazio","Lazio"
"Piemonte","Piemonte"
"England","England"
"Bolzano","Bolzano"
"Liguria","Liguria"
"Sicilia","Sicilia"
"Toscana","Toscana"
"Ticino","Ticino"
"Marche","Marche"
"Geneva","Geneva"
"Abruzzo","Abruzzo"
"Campania","Campania"
"Puglia","Puglia"
"North Brabant","North Brabant"
"Zurich","Zurich"
"Midlands","Midlands"
"Northern Ireland","Northern Ireland"
"Bourgogne-Franche-Comté","Bourgogne-Franche-Comté"
"Bretagne","Bretagne"
"Grand Est","Grand Est"
"Hauts-de-France","Hauts-de-France"
"Occitanie","Occitanie"
"Pays de la Loire","Pays de la Loire"
"Calabria","Calabria"
"North Holland","North Holland"
"Aargau","Aargau"
"Basel Country","Basel Country"
"Bern","Bern"
"Valais","Valais"
"Wales","Wales"
"Baden-Württemberg","Baden-Württemberg"
"Bayern","Bayern"
"Hessen","Hessen"
"Nordrhein-Westfalen","Nordrhein-Westfalen"
"Repatriierte","Repatriierte"
"Rheinland-Pfalz","Rheinland-Pfalz"
"Schleswig Holstein","Schleswig Holstein"
"South Holland","South Holland"
"Andalucía","Andalucía"
"Canarias","Canarias"
"Cantabria","Cantabria"
"Castilla y León","Castilla y León"
"Cataluña","Cataluña"
"Comunidad de Madrid","Comunidad de Madrid"
"Illes Balears","Illes Balears"
"País Vasco","País Vasco"
"Principado de Asturias","Principado de Asturias"
"East of England","East of England"
"South West","South West"
"Bremen","Bremen"
"Hamburg","Hamburg"
"Niedersachsen","Niedersachsen"
"Friuli Venezia Giulia","Friuli Venezia Giulia"
"Umbria","Umbria"
"Drenthe","Drenthe"
"Castilla-La Mancha","Castilla-La Mancha"
"Basel City","Basel City"
"Fribourg","Fribourg"
"North West","North West"
"Normandie","Normandie"
"Provence-Alpes-Côte d'Azur","Provence-Alpes-Côte d'Azur"
"Berlin","Berlin"
"Utrecht","Utrecht"
"Comunidad Foral de Navarra","Comunidad Foral de Navarra"
"Comunidad Valenciana","Comunidad Valenciana"
"Extremadura","Extremadura"
"La Rioja","La Rioja"
"Scotland","Scotland"
"Guadeloupe","Guadeloupe"
"Brandenburg","Brandenburg"
"Sachsen","Sachsen"
"Thüringen","Thüringen"
"Basilicata","Basilicata"
"Molise","Molise"
"Sardegna","Sardegna"
"Trento","Trento"
"Centro","Centro"
"Lisbon","Lisbon"
"Norte","Norte"
"Jura","Jura"
"St. Gallen","St. Gallen"
"Zug","Zug"
"Mecklenburg-Vorpommern","Mecklenburg-Vorpommern"
"NOT SPECIFIED","NOT SPECIFIED"
"Saarland","Saarland"
"Hungary","Hungary"
"Gelderland","Gelderland"
"Aragón","Aragón"
"Ciudad Autónoma de Ceuta","Ciudad Autónoma de Ceuta"
"Galicia","Galicia"
"Región de Murcia","Región de Murcia"
"Liechtenstein","Liechtenstein"
"Schaffhausen","Schaffhausen"
"Kärnten","Kärnten"
"Niederösterreich","Niederösterreich"
"Salzburg","Salzburg"
"Steiermark","Steiermark"
"Tirol","Tirol"
"Wien","Wien"
"Brussels","Brussels"
"Flanders","Flanders"
"Wallonia","Wallonia"
"Centre-Val de Loire","Centre-Val de Loire"
"Corse","Corse"
"Guyane","Guyane"
"Valle d'Aosta","Valle d'Aosta"
"Flevoland","Flevoland"
"Limburg","Limburg"
"Overijssel","Overijssel"
"Appenzell Ausserrhoden","Appenzell Ausserrhoden"
"Oberösterreich","Oberösterreich"
"Vorarlberg","Vorarlberg"
"Martinique","Martinique"
"Bratislava","Bratislava"
"Solothurn","Solothurn"
"Vaud","Vaud"
"Burgenland","Burgenland"
"Malta","Malta"
"Zeeland","Zeeland"
"Friesland","Friesland"
"Groningen","Groningen"
"Algarve","Algarve"
"Košice","Košice"
"Zilina","Zilina"
"Sachsen-Anhalt","Sachsen-Anhalt"
"Ireland","Ireland"
"Agder","Agder"
"Innlandet","Innlandet"
"Møre og Romsdal","Møre og Romsdal"
"Nordland","Nordland"
"Oslo","Oslo"
"Rogaland","Rogaland"
"Troms og Finnmark","Troms og Finnmark"
"Trøndelag","Trøndelag"
"Vestfold og Telemark","Vestfold og Telemark"
"Vestland","Vestland"
"Viken","Viken"
"Andorra","Andorra"
"Belarus","Belarus"
"Bosnia and Herzegovina","Bosnia and Herzegovina"
"Grad Zagreb","Grad Zagreb"
"Istarska","Istarska"
"Primorsko-Goranska","Primorsko-Goranska"
"Varaždinska","Varaždinska"
"Cyprus","Cyprus"
"Faroe","Faroe"
"Mainland","Mainland"
"Estonia","Estonia"
"La Réunion","La Réunion"
"Lithuania","Lithuania"
"Moldova","Moldova"
"San Marino","San Marino"
"Serbia","Serbia"
"Slovenia","Slovenia"
"Blekinge","Blekinge"
"Gävleborg","Gävleborg"
"Halland","Halland"
"Jämtland","Jämtland"
"Jönköping","Jönköping"
"Kalmar","Kalmar"
"Kronoberg","Kronoberg"
"Norrbotten","Norrbotten"
"Örebro","Örebro"
"Skåne","Skåne"
"Södermanland","Södermanland"
"Stockholm","Stockholm"
"Uppsala","Uppsala"
"Värmland","Värmland"
"Västerbotten","Västerbotten"
"Västernorrland","Västernorrland"
"Västra Götaland","Västra Götaland"
"Nidwalden","Nidwalden"
"Turkey","Turkey"
"Ayrshire and Arran","Ayrshire and Arran"
"Borders","Borders"
"Fife","Fife"
"Forth Valley","Forth Valley"
"Grampian","Grampian"
"Greater Glasgow and Clyde","Greater Glasgow and Clyde"
"Lanarkshire","Lanarkshire"
"Lothian","Lothian"
"Shetland","Shetland"
"Tayside","Tayside"
"Hovedstaden","Hovedstaden"
"Midtjylland","Midtjylland"
