"provided","standard"
"Abruzzo","Abruzzo"
"Basilicata","Basilicata"
"P.A. Bolzano","P.A. Bolzano"
"Calabria","Calabria"
"Campania","Campania"
"Emilia-Romagna","Emilia-Romagna"
"Friuli Venezia Giulia","Friuli Venezia Giulia"
"Lazio","Lazio"
"Liguria","Liguria"
"Lombardia","Lombardia"
"Marche","Marche"
"Molise","Molise"
"Piemonte","Piemonte"
"Puglia","Puglia"
"Sardegna","Sardegna"
"Sicilia","Sicilia"
"Toscana","Toscana"
"P.A. Trento","P.A. Trento"
"Umbria","Umbria"
"Valle d'Aosta","Valle d'Aosta"
"Veneto","Veneto"
