,10/04/2020,11/04/2020,12/04/2020,13/04/2020,14/04/2020,15/04/2020,16/04/2020,17/04/2020,18/04/2020,19/04/2020,20/04/2020,21/04/2020,22/04/2020,23/04/2020,24/04/2020,25/04/2020,26/04/2020,27/04/2020,28/04/2020,29/04/2020,30/04/2020,01/05/2020,02/05/2020,03/05/2020,04/05/2020,05/05/2020,06/05/2020,07/05/2020,08/05/2020,09/05/2020,10/05/2020,11/05/2020,12/05/2020,13/05/2020,14/05/2020,15/05/2020,16/05/2020,17/05/2020,18/05/2020,19/05/2020,20/05/2020,21/05/2020,22/05/2020,23/05/2020,24/05/2020,25/05/2020,26/05/2020,27/05/2020,28/05/2020,29/05/2020
England,106,59,86,227,437,431,378,416,104,94,581,527,365,412,390,67,95,657,431,346,318,296,67,43,490,289,269,272,128,51,75,431,266,200,162,205,47,45,255,190,109,122,116,14,31,50,171,103,82,80
Barking and Dagenham,0,1,0,3,2,0,1,0,0,0,0,1,2,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Barnet,0,2,0,4,3,0,3,0,1,1,4,5,1,1,2,2,0,2,7,3,2,1,0,0,0,3,3,4,1,0,0,1,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
Barnsley,0,0,2,0,1,0,2,1,1,0,3,1,3,0,2,0,0,2,3,2,4,1,1,1,4,2,4,2,0,0,0,4,1,1,0,3,0,0,2,2,2,0,3,0,0,0,0,1,1,2
Bath and North East Somerset,0,0,0,0,7,4,5,0,0,0,2,0,0,5,3,0,0,3,2,3,0,0,0,0,1,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
Bedford,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,2,0,1,2,0,0,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Bexley,3,0,0,0,2,6,1,1,2,1,2,0,0,0,1,0,0,1,0,0,2,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,2,0,0,1
Birmingham,2,2,1,3,13,6,3,13,1,2,12,4,7,3,2,0,1,12,1,3,18,8,0,0,2,3,2,2,2,3,0,4,2,1,1,2,0,0,1,6,0,1,3,0,0,0,2,1,3,0
Blackburn with Darwen,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Blackpool,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolton,1,0,1,3,1,4,1,6,2,0,3,5,4,2,3,1,2,6,3,3,3,3,0,0,0,3,1,2,3,0,0,5,1,3,0,1,1,0,1,1,2,0,1,0,2,0,1,0,1,0
