"provided","standard","term_id","units","units_id","value_mapping_file","notes"
"DATE","date",NA,NA,NA,NA,NA
"PROVINCE","geographic_location","GAZ:00000448",NA,NA,"province_levels.csv",NA
"REGION","region",NA,NA,NA,"region_levels.csv",NA
"NR_REPORTING","nr_reporting",NA,NA,NA,NA,NA
"TOTAL_IN","total_in",NA,NA,NA,NA,NA
"TOTAL_IN_ICU","total_in_icu",NA,NA,NA,NA,NA
"TOTAL_IN_RESP","total_in_resp",NA,NA,NA,NA,NA
"TOTAL_IN_ECMO","total_in_ecmo",NA,NA,NA,NA,NA
"NEW_IN","case_count","STATO:0000047",NA,NA,NA,NA
"NEW_OUT","new_out",NA,NA,NA,NA,NA
