"provided","standard","term_id","units","units_id","value_mapping_file","notes"
"DATE","date",NA,NA,NA,NA,NA
"NIS5","nis5",NA,NA,NA,NA,NA
"TX_DESCR_NL","geographic_location","GAZ:00000448",NA,NA,"tx_descr_nl_levels.csv",NA
"TX_DESCR_FR","tx_descr_fr",NA,NA,NA,"tx_descr_fr_levels.csv",NA
"TX_ADM_DSTR_DECSR_NL","tx_adm_dstr_descr",NA,NA,NA,"tx_adm_dstr_descr_nl_levels.csv",NA
"TX_ADM_DSTR_DESCR_FR","tx_adm_dstr_descr_fr",NA,NA,NA,"tx_adm_dstr_descr_fr_levels.csv",NA
"TX_PROV_DESCR_NL","tx_prov_descr_nl",NA,NA,NA,"tx_prov_descr_nl_levels.csv",NA
"TX_PROV_DESCR_FR","tx_prov_descr_fr",NA,NA,NA,"tx_prov_descr_fr_levels.csv",NA
"TX_RGN_DESCR_NL","tx_rgn_descr_nl",NA,NA,NA,"tx_prov_descr_nl_levels.csv",NA
"TX_RGN_DESCR_FR","tx_rgn_descr_fr",NA,NA,NA,"tx_prov_descr_fr_levels.csv",NA
"CASES","case_count",NA,NA,NA,NA,NA
