"provided","standard","term_id","units","units_id","value_mapping_file","notes"
"objectid","objectid",NA,NA,NA,NA,NA
"hr_uid","hr_uid",NA,NA,NA,NA,NA
"province","geographic_location",NA,NA,NA,"province_levels.csv",NA
"engname","engname",NA,NA,NA,NA,NA
"frename","frename",NA,NA,NA,NA,NA
"casecount","case_count",NA,NA,NA,NA,NA
"deaths","deaths",NA,NA,NA,NA,NA
"recovered","recovered",NA,NA,NA,NA,NA
"tests","tests",NA,NA,NA,NA,NA
"totalpop2019","totalpop2019",NA,NA,NA,NA,NA
"pop0to4_2019","pop0to4_2019",NA,NA,NA,NA,NA
"pop5to9_2019","pop5to9_2019",NA,NA,NA,NA,NA
"pop10to14_2019","pop10to14_2019",NA,NA,NA,NA,NA
"pop15to19_2019","pop15to19_2019",NA,NA,NA,NA,NA
"pop20to24_2019","pop20to24_2019",NA,NA,NA,NA,NA
"pop25to29_2019","pop25to29_2019",NA,NA,NA,NA,NA
"pop30to34_2019","pop30to34_2019",NA,NA,NA,NA,NA
"pop35to39_2019","pop35to39_2019",NA,NA,NA,NA,NA
"pop40to44_2019","pop40to44_2019",NA,NA,NA,NA,NA
"pop45to49_2019","pop45to49_2019",NA,NA,NA,NA,NA
"pop50to54_2019","pop50to54_2019",NA,NA,NA,NA,NA
"pop55to59_2019","pop55to59_2019",NA,NA,NA,NA,NA
"pop60to64_2019","pop60to64_2019",NA,NA,NA,NA,NA
"pop65to69_2019","pop65to69_2019",NA,NA,NA,NA,NA
"pop70to74_2019","pop70to74_2019",NA,NA,NA,NA,NA
"pop75to79_2019","pop75to79_2019",NA,NA,NA,NA,NA
"pop80to84_2019","pop80to84_2019",NA,NA,NA,NA,NA
"pop85older","pop85older",NA,NA,NA,NA,NA
"averageage_2019","averageage_2019",NA,NA,NA,NA,NA
"medianage_2019","medianage_2019",NA,NA,NA,NA,NA
"shape_area","shape_area",NA,NA,NA,NA,NA
"shape_length","shape_length",NA,NA,NA,NA,NA
"last_updated","last_updated",NA,NA,NA,NA,NA
"sourceurl","sourceurl",NA,NA,NA,NA,NA
"globalid","globalid",NA,NA,NA,NA,NA
"retreived_at","retreived_at",NA,NA,NA,NA,NA
