"provided","standard","term_id","units","units_id","value_mapping_file","notes"
"death_id","death_id",NA,NA,NA,NA,NA
"province_death_id","province_death_id",NA,NA,NA,NA,NA
"case_id","case_id",NA,NA,NA,NA,NA
"age","age","PATO:0000011","year","UO:0000036","age_levels.csv",NA
"sex","sex","PATO:0000047",NA,NA,"sex_levels.csv",NA
"health_region","health_region",NA,NA,NA,NA,NA
"province","geographic_location","GAZ:00000448",NA,NA,"province_levels.csv",NA
"country","country",NA,NA,NA,NA,NA
"date_death_report","date_death_report",NA,NA,NA,NA,NA
"death_source","death_source",NA,NA,NA,NA,NA
