"provided","standard"
"Vancouver Coastal","Vancouver Coastal"
"Simcoe Muskoka","Simcoe Muskoka"
"Fraser","Fraser"
"Lanaudière","Lanaudière"
"Halton","Halton"
"Edmonton","Edmonton"
"York","York"
"Toronto","Toronto"
"Haliburton Kawartha Pineridge","Haliburton Kawartha Pineridge"
"Durham","Durham"
"Calgary","Calgary"
"Hamilton","Hamilton"
"Niagara","Niagara"
"Estrie","Estrie"
"Bas-Saint-Laurent","Bas-Saint-Laurent"
"Ottawa","Ottawa"
"Montréal","Montréal"
"Laurentides","Laurentides"
"Winnipeg","Winnipeg"
"Mauricie","Mauricie"
"Laval","Laval"
"Abitibi-Témiscamingue","Abitibi-Témiscamingue"
"Middlesex-London","Middlesex-London"
"Renfrew","Renfrew"
"Lambton","Lambton"
"Eastern","Eastern"
"Capitale-Nationale","Capitale-Nationale"
"Not Reported","Not Reported"
"North","North"
"Haldimand-Norfolk","Haldimand-Norfolk"
"Huron Perth","Huron Perth"
"Peel","Peel"
"Southwestern","Southwestern"
"Leeds Grenville and Lanark","Leeds Grenville and Lanark"
"Hastings Prince Edward","Hastings Prince Edward"
"Windsor-Essex","Windsor-Essex"
"Waterloo","Waterloo"
"Brant","Brant"
"Sudbury","Sudbury"
"Wellington Dufferin Guelph","Wellington Dufferin Guelph"
"Island","Island"
"Montérégie","Montérégie"
"Porcupine","Porcupine"
"Chatham-Kent","Chatham-Kent"
"Central","Central"
"Chaudière-Appalaches","Chaudière-Appalaches"
"Gaspésie-Îles-de-la-Madeleine","Gaspésie-Îles-de-la-Madeleine"
"Zone 3 - Eastern","Zone 3 - Eastern"
"Regina","Regina"
"Saguenay","Saguenay"
"Peterborough","Peterborough"
"Zone 4 - Central","Zone 4 - Central"
"Interior","Interior"
"Prairie Mountain","Prairie Mountain"
"Outaouais","Outaouais"
"South","South"
"Zone 1 - Western","Zone 1 - Western"
"Thunder Bay","Thunder Bay"
