"provided","standard","term_id","units","units_id","value_mapping_file","notes"
"case_id","case_id",NA,NA,NA,NA,NA
"provincial_case_id","provincial_case_id",NA,NA,NA,NA,NA
"age","age_band","APOLLO_SV:00000241","year","UO:0000036","age_levels.csv",NA
"sex","sex","PATO:0000047",NA,NA,"sex_levels.csv",NA
"health_region","health_region",NA,NA,NA,"health_region_levels.csv",NA
"province","geographic_location","GAZ:00000448",NA,NA,"province_levels.csv",NA
"country","country",NA,NA,NA,"country_levels.csv",NA
"date_report","date",NA,NA,NA,NA,NA
"report_week","report_week",NA,NA,NA,"locally_acquired_levels.csv",NA
"has_travel_history","has_travel_history",NA,NA,NA,NA,NA
"locally_acquired","locally_acquired",NA,NA,NA,NA,NA
"case_source","case_source",NA,NA,NA,NA,NA
