"provided","standard","term_id","units","units_id","value_mapping_file","notes"
"clinical_finding","clinical_data_item","OGMS:0000123",NA,NA,"clinical_finding_levels.csv",NA
"case_count","case_count","STATO:0000047",NA,NA,NA,NA
"dateRep","date",NA,NA,NA,NA,NA
"day","day",NA,NA,NA,NA,NA
"month","month",NA,NA,NA,NA,NA
"year","year",NA,NA,NA,NA,NA
"countriesAndTerritories","countriesAndTerritories","GAZ:00000448",NA,NA,"countriesAndTerritories_levels.csv",NA
"geoId","geoId",NA,NA,NA,"geoId_levels.csv",NA
"countryterritoryCode","countryterritoryCode",NA,NA,NA,"countryterritoryCode_levels.csv",NA
"popData2018","popData2018",NA,NA,NA,NA,NA
"continentExp","continentExp",NA,NA,NA,"continentExp_levels.csv",NA
