case_type,case_count,dateRep,day,month,year,countriesAndTerritories,geoId,countryterritoryCode,popData2018,continentExp
deaths,30,2020-06-08,8,6,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,18,2020-06-07,7,6,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,9,2020-06-06,6,6,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,6,2020-06-05,5,6,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,24,2020-06-04,4,6,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,5,2020-06-03,3,6,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,8,2020-06-02,2,6,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,8,2020-06-01,1,6,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,3,2020-05-31,31,5,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,11,2020-05-30,30,5,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,8,2020-05-29,29,5,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,7,2020-05-28,28,5,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,1,2020-05-27,27,5,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,1,2020-05-26,26,5,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,2,2020-05-25,25,5,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,11,2020-05-24,24,5,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,12,2020-05-23,23,5,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,6,2020-05-22,22,5,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,9,2020-05-21,21,5,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,5,2020-05-20,20,5,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,4,2020-05-19,19,5,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,1,2020-05-18,18,5,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,0,2020-05-17,17,5,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,32,2020-05-16,16,5,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,6,2020-05-15,15,5,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,3,2020-05-14,14,5,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,5,2020-05-13,13,5,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,2,2020-05-12,12,5,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,5,2020-05-11,11,5,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,6,2020-05-10,10,5,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,3,2020-05-09,9,5,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,2,2020-05-08,8,5,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,9,2020-05-07,7,5,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,5,2020-05-06,6,5,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,5,2020-05-05,5,5,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,13,2020-05-04,4,5,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,4,2020-05-03,3,5,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,4,2020-05-02,2,5,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,4,2020-05-01,1,5,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,0,2020-04-30,30,4,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,3,2020-04-29,29,4,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,0,2020-04-28,28,4,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,10,2020-04-27,27,4,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,4,2020-04-26,26,4,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,1,2020-04-25,25,4,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,2,2020-04-24,24,4,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,4,2020-04-23,23,4,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,1,2020-04-22,22,4,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,2,2020-04-21,21,4,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,3,2020-04-20,20,4,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,0,2020-04-19,19,4,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,1,2020-04-18,18,4,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,4,2020-04-17,17,4,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,2,2020-04-16,16,4,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,2,2020-04-15,15,4,2020,Afghanistan,AF,AFG,37172386,Asia
deaths,3,2020-04-14,14,4,2020,Afghanistan,AF,AFG,37172386,Asia
