"provided","standard"
"CIUDAD DE MÉXICO","CIUDAD DE MÉXICO"
"MÉXICO","MÉXICO"
"BAJA CALIFORNIA","BAJA CALIFORNIA"
"GUERRERO","GUERRERO"
"JALISCO","JALISCO"
"SINALOA","SINALOA"
"NUEVO LEÓN","NUEVO LEÓN"
"QUERETARO","QUERETARO"
"COAHUILA","COAHUILA"
"GUANAJUATO","GUANAJUATO"
"BAJA CALIFORNIA SUR","BAJA CALIFORNIA SUR"
"VERACRUZ","VERACRUZ"
"CHIHUAHUA","CHIHUAHUA"
"TAMAULIPAS","TAMAULIPAS"
"DURANGO","DURANGO"
"TABASCO","TABASCO"
"PUEBLA","PUEBLA"
"SONORA","SONORA"
"SAN LUIS POTOSÍ","SAN LUIS POTOSÍ"
"YUCATÁN","YUCATÁN"
"AGUASCALIENTES","AGUASCALIENTES"
"CHIAPAS","CHIAPAS"
"MICHOACÁN","MICHOACÁN"
"QUINTANA ROO","QUINTANA ROO"
"TLAXCALA","TLAXCALA"
"ZACATECAS","ZACATECAS"
"HIDALGO","HIDALGO"
"COLIMA","COLIMA"
"MORELOS","MORELOS"
"NAYARIT","NAYARIT"
"OAXACA","OAXACA"
"CAMPECHE","CAMPECHE"
"MEXICO","MEXICO"
"DISTRITO FEDERAL","DISTRITO FEDERAL"
"NUEVO LEON","NUEVO LEON"
"MICHOACAN","MICHOACAN"
"YUCATAN","YUCATAN"
"SAN LUIS POTOSI","SAN LUIS POTOSI"
"SONOR","SONOR"
"SINALO","SINALO"
