,10/04/2020,11/04/2020,12/04/2020,13/04/2020,14/04/2020,15/04/2020,16/04/2020,17/04/2020,18/04/2020,19/04/2020,20/04/2020,21/04/2020,22/04/2020,23/04/2020,24/04/2020,25/04/2020,26/04/2020,27/04/2020,28/04/2020,29/04/2020,30/04/2020,01/05/2020,02/05/2020,03/05/2020,04/05/2020,05/05/2020,06/05/2020,07/05/2020,08/05/2020,09/05/2020,10/05/2020,11/05/2020,12/05/2020,13/05/2020,14/05/2020,15/05/2020,16/05/2020,17/05/2020,18/05/2020,19/05/2020,20/05/2020,21/05/2020,22/05/2020,23/05/2020,24/05/2020,25/05/2020,26/05/2020,27/05/2020,28/05/2020,29/05/2020
England,241,153,157,590,1280,1254,991,1098,260,218,1531,1253,880,1001,919,175,189,1498,992,775,710,683,141,95,1126,674,633,634,282,102,144,1066,699,481,416,472,100,106,735,534,363,379,382,61,84,197,593,435,372,296
Barking and Dagenham,0,1,0,3,3,2,1,1,0,0,0,1,2,2,0,1,2,0,1,1,1,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1
Barnet,0,2,0,5,6,4,13,7,3,1,10,9,6,2,2,5,0,5,13,8,4,2,0,0,1,3,3,6,1,0,0,3,4,6,0,1,0,0,2,2,2,1,6,0,0,1,4,1,3,4
Barnsley,0,1,2,8,1,4,5,3,2,0,7,7,5,0,5,0,0,4,4,3,7,3,1,1,6,3,4,3,0,0,0,7,6,2,1,4,0,0,2,4,3,1,4,0,0,1,2,2,2,5
Bath and North East Somerset,1,0,0,0,13,4,6,3,0,1,3,2,1,7,8,2,0,7,2,3,0,0,0,0,3,2,1,2,0,0,0,2,3,2,2,1,0,0,1,1,0,0,1,0,0,1,3,2,1,0
Bedford,0,0,2,0,5,3,0,6,1,0,9,0,2,2,3,2,0,4,3,5,3,3,0,0,3,3,1,0,1,0,0,3,1,1,1,2,1,0,4,0,0,1,0,0,0,1,1,0,0,4
Bexley,3,0,0,1,12,10,4,4,2,5,8,0,0,1,8,0,0,4,0,1,2,1,0,0,2,4,3,2,0,0,0,3,0,2,0,2,0,0,1,2,3,1,0,1,0,0,6,0,3,1
Birmingham,10,3,3,10,21,16,14,21,1,5,28,9,15,9,8,3,4,26,3,5,23,8,1,0,12,8,4,12,3,3,1,13,8,7,2,5,0,1,10,12,2,3,7,1,0,2,9,2,7,1
Blackburn with Darwen,0,0,0,1,1,1,1,0,1,1,4,3,0,1,1,0,3,3,2,1,4,2,1,1,2,1,1,1,2,2,1,2,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0
Blackpool,1,1,2,1,3,1,2,5,0,0,3,3,2,1,2,1,0,5,2,2,4,4,0,0,1,5,3,1,0,0,0,2,0,5,0,0,0,0,0,2,1,4,1,0,0,0,1,0,1,1
Bolton,2,0,1,4,2,17,1,8,4,1,5,9,7,4,5,1,2,11,4,5,3,4,0,1,0,7,1,4,7,0,0,7,2,5,2,1,1,0,3,3,2,0,2,0,2,0,2,1,4,1
"Bournemouth, Christchurch and Poole",2,0,3,4,7,16,5,12,1,3,11,10,6,11,10,2,1,16,7,8,10,8,4,0,10,5,5,5,3,1,0,7,3,3,2,4,0,2,5,5,3,11,6,0,0,2,6,8,7,4
Bracknell Forest,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,1
Bradford,2,1,0,2,6,8,7,9,0,4,17,13,12,12,7,3,4,13,10,6,6,15,1,5,7,7,6,12,1,2,0,8,8,10,6,4,1,0,9,5,7,5,6,3,0,2,2,3,5,4
Brent,1,2,1,5,3,3,9,3,0,0,5,2,4,2,5,1,1,3,0,0,3,1,0,0,1,0,0,0,0,0,0,4,1,0,1,2,0,0,1,1,0,1,0,0,0,0,2,0,0,0
Brighton and Hove,0,1,1,3,12,8,2,6,1,2,8,5,2,2,2,0,1,7,0,5,2,2,0,2,3,4,3,3,4,0,1,6,5,2,1,5,0,0,3,2,0,0,2,0,1,0,1,1,4,1
"Bristol, City of",2,3,2,10,13,3,4,11,5,2,10,17,3,10,7,2,2,10,13,7,7,3,1,2,5,4,2,4,2,2,2,9,5,2,0,4,4,0,3,5,0,1,5,0,0,1,3,14,0,3
Bromley,1,2,1,2,12,5,4,4,0,4,8,9,3,2,6,4,0,3,1,3,1,5,0,0,2,4,4,0,0,0,3,3,2,1,1,3,0,0,2,4,1,1,0,0,0,0,3,0,1,0
Buckinghamshire,1,3,2,2,17,15,16,6,4,1,13,9,8,11,12,1,1,14,15,8,9,5,0,0,8,5,7,3,2,0,0,11,3,7,7,3,0,0,7,7,7,7,1,0,2,1,3,3,5,1
Bury,1,0,0,2,7,3,0,10,0,1,3,5,4,11,2,0,2,11,12,1,0,0,1,0,9,1,5,1,2,0,0,6,1,0,1,5,0,0,1,2,2,0,0,0,0,1,2,0,1,1
Calderdale,0,0,1,3,0,3,4,3,0,0,9,7,4,2,2,2,1,9,5,2,3,2,1,0,2,4,2,1,1,2,0,3,3,0,3,1,0,0,1,1,1,0,1,1,1,0,1,1,3,2
Cambridgeshire,2,0,1,6,10,10,4,12,4,2,16,7,6,11,11,0,2,7,22,3,5,8,1,1,13,4,13,11,11,1,1,17,10,6,2,5,0,2,7,6,5,7,5,4,0,1,15,5,4,3
Camden,1,1,0,0,2,2,1,0,1,0,2,9,2,0,1,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Central Bedfordshire,4,1,0,2,11,2,6,5,0,2,5,1,4,3,2,1,0,7,4,7,1,1,0,0,3,3,2,2,3,0,0,4,6,3,4,1,0,1,5,1,1,0,1,0,0,0,1,0,0,1
Cheshire East,2,1,4,8,21,8,13,12,3,0,21,7,13,9,13,0,1,18,10,16,5,6,1,1,22,6,5,10,3,0,0,15,9,3,3,9,0,1,12,4,5,5,2,0,1,3,2,7,3,2
Cheshire West and Chester,2,0,1,3,12,12,8,2,0,0,9,15,10,7,6,0,2,14,9,9,5,9,2,0,2,3,4,18,1,2,1,11,4,2,1,5,2,2,5,0,1,1,3,0,1,0,3,1,1,1
Cornwall,1,2,1,6,12,4,7,7,1,3,10,10,5,8,3,1,2,16,2,6,7,4,1,0,11,8,8,7,6,0,0,9,5,5,2,8,1,1,10,4,5,7,2,0,1,3,4,5,2,2
County Durham,2,2,1,8,18,18,25,17,9,1,24,25,21,24,14,1,4,24,14,14,10,15,3,0,15,10,13,17,4,1,5,20,13,7,12,6,1,3,12,13,3,5,3,0,9,5,18,6,8,3
Coventry,3,1,2,7,5,7,7,7,2,1,6,10,1,9,4,0,0,8,2,1,2,3,0,0,5,1,2,1,2,0,0,3,4,6,2,1,0,0,3,5,0,3,1,0,1,2,2,2,0,4
Croydon,1,0,0,8,3,14,7,4,3,1,9,6,5,4,5,2,0,6,4,11,1,3,2,3,5,3,2,9,0,0,2,2,3,2,3,4,0,2,1,4,1,0,1,0,0,0,0,6,0,1
Cumbria,4,2,1,9,8,15,6,7,15,0,17,13,12,8,14,0,4,16,9,6,8,2,2,0,18,10,6,4,4,0,3,12,15,2,6,8,0,1,11,5,7,6,1,0,1,2,4,10,5,1
Darlington,2,0,0,1,8,4,1,1,1,0,6,1,1,10,4,0,1,6,7,0,6,0,0,0,4,0,5,3,0,0,1,2,5,2,2,1,0,0,1,0,0,0,3,0,0,0,1,2,2,0
