"provided","standard"
"York","York"
"Kent","Kent"
"Barnsley","Barnsley"
"Devon","Devon"
"Hertfordshire","Hertfordshire"
"Brighton and Hove","Brighton and Hove"
"Lewisham","Lewisham"
"Worcestershire","Worcestershire"
"Ealing","Ealing"
"Barnet","Barnet"
"Enfield","Enfield"
"Hackney","Hackney"
"Nottinghamshire","Nottinghamshire"
"Islington","Islington"
"Milton Keynes","Milton Keynes"
"Redbridge","Redbridge"
"Warwickshire","Warwickshire"
"West Sussex","West Sussex"
"Derbyshire","Derbyshire"
"Southwark","Southwark"
"Surrey","Surrey"
"Gloucestershire","Gloucestershire"
"Hampshire","Hampshire"
"Kensington and Chelsea","Kensington and Chelsea"
"Leicestershire","Leicestershire"
"Medway","Medway"
"Wokingham","Wokingham"
"Brent","Brent"
"Essex","Essex"
"Hounslow","Hounslow"
"Leeds","Leeds"
"Nottingham","Nottingham"
"Wigan","Wigan"
"Kingston upon Thames","Kingston upon Thames"
"Northamptonshire","Northamptonshire"
"Sheffield","Sheffield"
"Barking and Dagenham","Barking and Dagenham"
"Birmingham","Birmingham"
"Bolton","Bolton"
"Bradford","Bradford"
"Bromley","Bromley"
"Buckinghamshire","Buckinghamshire"
"Bury","Bury"
"Kingston upon Hull, City of","Kingston upon Hull, City of"
"Lancashire","Lancashire"
"Merton","Merton"
"Stockport","Stockport"
"Walsall","Walsall"
"Wandsworth","Wandsworth"
"Westminster","Westminster"
"Wiltshire","Wiltshire"
"Wirral","Wirral"
"Camden","Camden"
"Cheshire West and Chester","Cheshire West and Chester"
"Cornwall and Isles of Scilly","Cornwall and Isles of Scilly"
"Hillingdon","Hillingdon"
"Liverpool","Liverpool"
"Newcastle upon Tyne","Newcastle upon Tyne"
"Oldham","Oldham"
"Oxfordshire","Oxfordshire"
"Rotherham","Rotherham"
"Staffordshire","Staffordshire"
"Torbay","Torbay"
"Trafford","Trafford"
"Bracknell Forest","Bracknell Forest"
"Bristol, City of","Bristol, City of"
"Cambridgeshire","Cambridgeshire"
"Cumbria","Cumbria"
"Harrow","Harrow"
"Lambeth","Lambeth"
"Lincolnshire","Lincolnshire"
"Manchester","Manchester"
"North Yorkshire","North Yorkshire"
"Swindon","Swindon"
"Hammersmith and Fulham","Hammersmith and Fulham"
"Isle of Wight","Isle of Wight"
"Luton","Luton"
"Southampton","Southampton"
"Southend-on-Sea","Southend-on-Sea"
"Sutton","Sutton"
"Tower Hamlets","Tower Hamlets"
"Bournemouth, Christchurch and Poole","Bournemouth, Christchurch and Poole"
"Coventry","Coventry"
"North Tyneside","North Tyneside"
"Waltham Forest","Waltham Forest"
"Wolverhampton","Wolverhampton"
"Blaenau Gwent","Blaenau Gwent"
"Bridgend","Bridgend"
"Caerphilly","Caerphilly"
"Cardiff","Cardiff"
"Carmarthenshire","Carmarthenshire"
"Ceredigion","Ceredigion"
"Conwy","Conwy"
"Denbighshire","Denbighshire"
"Flintshire","Flintshire"
"Gwynedd","Gwynedd"
"Isle of Anglesey","Isle of Anglesey"
"Merthyr Tydfil","Merthyr Tydfil"
"Monmouthshire","Monmouthshire"
"Neath Port Talbot","Neath Port Talbot"
"Newport","Newport"
"Pembrokeshire","Pembrokeshire"
"Powys","Powys"
"Rhondda Cynon Taf","Rhondda Cynon Taf"
"Swansea","Swansea"
"Torfaen","Torfaen"
"Vale of Glamorgan","Vale of Glamorgan"
"Wrexham","Wrexham"
"Darlington","Darlington"
"Derby","Derby"
"Havering","Havering"
"Herefordshire, County of","Herefordshire, County of"
"North Lincolnshire","North Lincolnshire"
"Richmond upon Thames","Richmond upon Thames"
"Slough","Slough"
"Somerset","Somerset"
"Tameside","Tameside"
"Windsor and Maidenhead","Windsor and Maidenhead"
"Croydon","Croydon"
"Dudley","Dudley"
"Greenwich","Greenwich"
"Shropshire","Shropshire"
"Suffolk","Suffolk"
"Sunderland","Sunderland"
"West Berkshire","West Berkshire"
"Ayrshire and Arran","Ayrshire and Arran"
"Borders","Borders"
"Dumfries and Galloway","Dumfries and Galloway"
"Fife","Fife"
"Forth Valley","Forth Valley"
"Grampian","Grampian"
"Greater Glasgow and Clyde","Greater Glasgow and Clyde"
"Highland","Highland"
"Lanarkshire","Lanarkshire"
"Lothian","Lothian"
"Orkney","Orkney"
"Shetland","Shetland"
"Tayside","Tayside"
"Western Isles","Western Isles"
"Haringey","Haringey"
"Reading","Reading"
"South Gloucestershire","South Gloucestershire"
"Bexley","Bexley"
"County Durham","County Durham"
"Kirklees","Kirklees"
"Newham","Newham"
"North Somerset","North Somerset"
"Portsmouth","Portsmouth"
"Rochdale","Rochdale"
"Sefton","Sefton"
"Stockton-on-Tees","Stockton-on-Tees"
"Warrington","Warrington"
"Blackpool","Blackpool"
"Calderdale","Calderdale"
"Central Bedfordshire","Central Bedfordshire"
"Cheshire East","Cheshire East"
"Doncaster","Doncaster"
"Dorset","Dorset"
"East Riding of Yorkshire","East Riding of Yorkshire"
"Norfolk","Norfolk"
"Plymouth","Plymouth"
"Redcar and Cleveland","Redcar and Cleveland"
"Salford","Salford"
"Telford and Wrekin","Telford and Wrekin"
"Thurrock","Thurrock"
"Bath and North East Somerset","Bath and North East Somerset"
"East Sussex","East Sussex"
"Leicester","Leicester"
"Sandwell","Sandwell"
"Solihull","Solihull"
"St. Helens","St. Helens"
"Wakefield","Wakefield"
"Gateshead","Gateshead"
"Halton","Halton"
"Knowsley","Knowsley"
"Stoke-on-Trent","Stoke-on-Trent"
"Bedford","Bedford"
"Blackburn with Darwen","Blackburn with Darwen"
"Northumberland","Northumberland"
"Middlesbrough","Middlesbrough"
"Peterborough","Peterborough"
"South Tyneside","South Tyneside"
"Hartlepool","Hartlepool"
"Resident outside Wales","Resident outside Wales"
"North East Lincolnshire","North East Lincolnshire"
"Swansea Bay","Swansea Bay"
"Aneurin Bevan","Aneurin Bevan"
"Betsi Cadwaladr","Betsi Cadwaladr"
"Cardiff and Vale","Cardiff and Vale"
"Cwm Taf","Cwm Taf"
"Hywel Dda","Hywel Dda"
"City of London","City of London"
"To be confirmed","To be confirmed"
"Rutland","Rutland"
"Unknown","Unknown"
"Antrim and Newtownabbey","Antrim and Newtownabbey"
"Armagh, Banbridge and Craigavon","Armagh, Banbridge and Craigavon"
"Belfast","Belfast"
"Causeway Coast and Glens","Causeway Coast and Glens"
"Derry and Strabane","Derry and Strabane"
"Fermanagh and Omagh","Fermanagh and Omagh"
"Lisburn and Castlereagh","Lisburn and Castlereagh"
"Mid and East Antrim","Mid and East Antrim"
"Mid Ulster","Mid Ulster"
"Newry, Mourne and Down","Newry, Mourne and Down"
"North Down and Ards","North Down and Ards"
"Unknown location","Unknown location"
