"provided","standard"
"England",104
"South West",273
"South East",260
"London",172
"East of England",94
"West Midlands",331
"East Midlands",92
"Yorkshire and The Humber",352
"North West",206
"North East",196
"Worcestershire",345
"West Sussex",334
"Warwickshire",321
"Surrey",291
"Suffolk",289
"Staffordshire",281
"Somerset",255
"Oxfordshire",219
"Nottinghamshire",214
"North Yorkshire",208
"Northamptonshire",210
"Norfolk",194
"Lincolnshire",170
"Leicestershire",165
"Lancashire",161
"Kent",153
"Hertfordshire",140
"Hampshire",128
"Gloucestershire",118
"Essex",108
"East Sussex",98
"Devon",81
"Derbyshire",79
"Cumbria",73
"Cambridgeshire",45
"Buckinghamshire",40
"Westminster",335
"Wandsworth",318
"Waltham Forest",317
"Tower Hamlets",310
"Sutton",293
"Southwark",276
"Richmond upon Thames",231
"Redbridge",226
"Newham",193
"Merton",182
"Lewisham",167
"Lambeth",160
"Kingston upon Thames",157
"Kensington and Chelsea",152
"Islington",151
"Hounslow",146
"Hillingdon",143
"Havering",138
"Harrow",133
"Haringey",130
"Hammersmith and Fulham",127
"Hackney",124
"Greenwich",122
"Enfield",103
"Ealing",86
"Croydon",72
"Camden",46
"Bromley",36
"Brent",31
"Bexley",18
"Barnet",10
"Barking and Dagenham",9
"City of London",62
"Gateshead",115
"Wakefield",315
"Leeds",163
"Kirklees",158
"Calderdale",43
"Bradford",28
"Wolverhampton",343
"Walsall",316
"Solihull",254
"Sandwell",245
"Dudley",85
"Coventry",69
"Birmingham",19
"Sunderland",290
"South Tyneside",272
"North Tyneside",204
"Newcastle upon Tyne",191
"Sheffield",251
"Rotherham",237
"Doncaster",82
"Barnsley",11
"Wirral",340
"Sefton",248
"St. Helens",279
"Liverpool",171
"Knowsley",159
"Wigan",336
"Trafford",311
"Tameside",296
"Stockport",284
"Salford",244
"Rochdale",233
"Oldham",217
"Manchester",177
"Bury",42
"Bolton",24
"Somerset West and Taunton",256
"West Suffolk",333
"East Suffolk",97
"Stevenage",283
"East Hertfordshire",90
"Welwyn Hatfield",326
"St Albans",278
"Wyre Forest",350
"Wychavon",347
"Worcester",344
"Redditch",228
"Malvern Hills",176
"Bromsgrove",37
"Worthing",346
"Mid Sussex",185
"Horsham",145
"Crawley",71
"Chichester",59
"Arun",4
"Adur",1
"Warwick",320
"Stratford-on-Avon",287
"Rugby",238
"Nuneaton and Bedworth",215
"North Warwickshire",205
"Woking",341
"Waverley",323
"Tandridge",298
"Surrey Heath",292
"Spelthorne",277
"Runnymede",239
"Reigate and Banstead",229
"Mole Valley",188
"Guildford",123
"Epsom and Ewell",106
"Elmbridge",102
"Mid Suffolk",184
"Ipswich",149
"Babergh",8
"Tamworth",297
"Staffordshire Moorlands",282
"Stafford",280
"South Staffordshire",271
"Newcastle-under-Lyme",192
"Lichfield",168
"East Staffordshire",96
"Cannock Chase",47
"South Somerset",270
"Sedgemoor",247
"Mendip",181
"West Oxfordshire",332
"Vale of White Horse",314
"South Oxfordshire",268
"Oxford",218
"Cherwell",55
"Rushcliffe",240
"Newark and Sherwood",190
"Mansfield",178
"Gedling",116
"Broxtowe",39
"Bassetlaw",15
"Ashfield",5
"Selby",249
"Scarborough",246
"Ryedale",243
"Richmondshire",232
"Harrogate",132
"Hambleton",126
"Craven",70
"Wellingborough",325
"South Northamptonshire",267
"Northampton",209
"Kettering",154
"East Northamptonshire",93
"Daventry",77
"Corby",65
"South Norfolk",266
"Norwich",212
"North Norfolk",202
"King's Lynn and West Norfolk",155
"Great Yarmouth",121
"Broadland",35
"Breckland",30
"West Lindsey",330
"South Kesteven",264
"South Holland",263
"North Kesteven",200
"Lincoln",169
"East Lindsey",91
"Boston",25
"Oadby and Wigston",216
"North West Leicestershire",207
"Melton",180
"Hinckley and Bosworth",144
"Harborough",129
"Charnwood",52
"Blaby",20
"Wyre",349
"West Lancashire",329
"South Ribble",269
"Rossendale",235
"Ribble Valley",230
"Preston",224
"Pendle",220
"Lancaster",162
"Hyndburn",148
