"provided","standard","term_id","units","units_id","value_mapping_file","notes"
"Area.name","geographic_location","GAZ:00000448",NA,NA,"area_name_levels.csv",NA
"Area.code","area_code",NA,NA,NA,NA,NA
"Area.type","area_type",NA,NA,NA,NA,NA
"Specimen.date","date",NA,NA,NA,NA,NA
"Daily.lab.confirmed.cases","case_count","STATO:0000047",NA,NA,NA,NA
"Previously.reported.daily.cases","previously_reported_daily_cases",NA,NA,NA,NA,NA
"Change.in.daily.cases","change_in_daily_cases",NA,NA,NA,NA,NA
"Cumulative.lab.confirmed.cases","cumulative_labconfirmed_cases",NA,NA,NA,NA,NA
"Previously.reported.cumulative.cases","previously_reported_cumulative_cases",NA,NA,NA,NA,NA
"Change.in.cumulative.cases","change_in_cumulative_cases",NA,NA,NA,NA,NA
"Cumulative.lab.confirmed.cases.rate","cumulative_labconfirmed_cases",NA,NA,NA,NA,NA
