Date,England,Scotland,Wales,Northern Ireland
26/3/2020,1639,155,107,92
27/3/2020,1931,148,118,106
28/3/2020,1873,156,126,122
29/3/2020,2186,137,133,98
30/3/2020,2817,189,147,133
31/3/2020,2447,182,158,122
1/4/2020,3099,213,207,126
2/4/2020,2932,171,139,116
3/4/2020,2564,211,110,130
4/4/2020,2593,152,134,101
5/4/2020,2592,158,134,80
6/4/2020,2679,202,123,139
7/4/2020,2744,173,196,129
8/4/2020,2619,156,158,124
9/4/2020,2340,132,126,126
10/4/2020,2196,116,129,111
11/4/2020,1955,79,107,102
12/4/2020,1791,84,168,85
13/4/2020,1912,104,130,97
14/4/2020,1859,99,106,90
15/4/2020,1608,97,151,121
16/4/2020,1777,96,104,129
17/4/2020,1674,113,151,124
18/4/2020,1411,72,129,104
19/4/2020,1475,58,102,106
20/4/2020,1522,66,114,129
21/4/2020,1495,69,117,145
22/4/2020,1310,67,127,134
23/4/2020,1289,66,137,106
24/4/2020,1277,91,147,124
25/4/2020,1080,39,126,102
26/4/2020,1208,39,99,98
27/4/2020,1344,76,95,155
28/4/2020,1296,73,148,141
29/4/2020,1295,48,136,104
30/4/2020,1233,55,148,118
1/5/2020,1087,51,122,78
2/5/2020,982,47,147,71
3/5/2020,1045,40,100,72
4/5/2020,1074,50,125,86
5/5/2020,961,38,140,80
6/5/2020,1044,45,116,101
7/5/2020,1002,35,131,89
8/5/2020,747,31,144,66
9/5/2020,799,20,112,60
10/5/2020,757,21,118,71
11/5/2020,869,30,120,83
12/5/2020,856,34,98,67
13/5/2020,807,24,122,80
14/5/2020,774,24,112,69
15/5/2020,742,28,101,63
16/5/2020,671,17,125,61
17/5/2020,677,9,99,56
18/5/2020,744,27,84,87
19/5/2020,763,11,114,80
20/5/2020,746,17,108,66
21/5/2020,725,13,118,69
22/5/2020,641,15,92,48
23/5/2020,504,14,123,34
24/5/2020,499,9,81,40
25/5/2020,501,12,90,56
26/5/2020,578,13,99,87
27/5/2020,589,10,117,59
28/5/2020,570,6,130,69
29/5/2020,499,7,112,44
30/5/2020,466,2,103,49
31/5/2020,446,9,75,45
1/6/2020,522,7,77,47
2/6/2020,553,4,112,57
3/6/2020,491,,144,43
4/6/2020,458,,107,66
5/6/2020,380,,88,47
6/6/2020,306,,101,31
7/6/2020,323,,81,31
8/6/2020,348,,61,49
9/6/2020,397,,91,49
10/6/2020,402,,103,35
11/6/2020,330,,114,33
12/6/2020,298,,98,34
13/6/2020,265,,127,18
