"Date","area","counts_admssions_hospital"
"26/3/2020","England",1639
"26/3/2020","Scotland",155
"26/3/2020","Wales",107
"26/3/2020","Northern Ireland",92
"27/3/2020","England",1931
"27/3/2020","Scotland",148
"27/3/2020","Wales",118
"27/3/2020","Northern Ireland",106
"28/3/2020","England",1873
"28/3/2020","Scotland",156
"28/3/2020","Wales",126
"28/3/2020","Northern Ireland",122
"29/3/2020","England",2186
"29/3/2020","Scotland",137
"29/3/2020","Wales",133
"29/3/2020","Northern Ireland",98
"30/3/2020","England",2817
"30/3/2020","Scotland",189
"30/3/2020","Wales",147
"30/3/2020","Northern Ireland",133
"31/3/2020","England",2447
"31/3/2020","Scotland",182
"31/3/2020","Wales",158
"31/3/2020","Northern Ireland",122
"1/4/2020","England",3099
"1/4/2020","Scotland",213
"1/4/2020","Wales",207
"1/4/2020","Northern Ireland",126
"2/4/2020","England",2932
"2/4/2020","Scotland",171
"2/4/2020","Wales",139
"2/4/2020","Northern Ireland",116
"3/4/2020","England",2564
"3/4/2020","Scotland",211
"3/4/2020","Wales",110
"3/4/2020","Northern Ireland",130
"4/4/2020","England",2593
"4/4/2020","Scotland",152
"4/4/2020","Wales",134
"4/4/2020","Northern Ireland",101
"5/4/2020","England",2592
"5/4/2020","Scotland",158
"5/4/2020","Wales",134
"5/4/2020","Northern Ireland",80
"6/4/2020","England",2679
"6/4/2020","Scotland",202
"6/4/2020","Wales",123
"6/4/2020","Northern Ireland",139
"7/4/2020","England",2744
"7/4/2020","Scotland",173
"7/4/2020","Wales",196
"7/4/2020","Northern Ireland",129
"8/4/2020","England",2619
"8/4/2020","Scotland",156
"8/4/2020","Wales",158
"8/4/2020","Northern Ireland",124
"9/4/2020","England",2340
"9/4/2020","Scotland",132
"9/4/2020","Wales",126
"9/4/2020","Northern Ireland",126
"10/4/2020","England",2196
"10/4/2020","Scotland",116
"10/4/2020","Wales",129
"10/4/2020","Northern Ireland",111
"11/4/2020","England",1955
"11/4/2020","Scotland",79
"11/4/2020","Wales",107
"11/4/2020","Northern Ireland",102
"12/4/2020","England",1791
"12/4/2020","Scotland",84
"12/4/2020","Wales",168
"12/4/2020","Northern Ireland",85
"13/4/2020","England",1912
"13/4/2020","Scotland",104
"13/4/2020","Wales",130
"13/4/2020","Northern Ireland",97
