"Date","area","people_in_hospital_count"
2020-03-19,"East of England",NA
2020-03-19,"London",NA
2020-03-19,"Midlands",NA
2020-03-19,"North East & Yorkshire",NA
2020-03-19,"North West",NA
2020-03-19,"South East",NA
2020-03-19,"South West",NA
2020-03-19,"Scotland",NA
2020-03-19,"Wales",NA
2020-03-19,"Northern Ireland",205
2020-03-20,"East of England",59
2020-03-20,"London",819
2020-03-20,"Midlands",218
2020-03-20,"North East & Yorkshire",82
2020-03-20,"North West",130
2020-03-20,"South East",176
2020-03-20,"South West",57
2020-03-20,"Scotland",NA
2020-03-20,"Wales",NA
2020-03-20,"Northern Ireland",247
2020-03-21,"East of England",71
2020-03-21,"London",1055
2020-03-21,"Midlands",278
2020-03-21,"North East & Yorkshire",124
2020-03-21,"North West",162
2020-03-21,"South East",307
2020-03-21,"South West",95
2020-03-21,"Scotland",NA
2020-03-21,"Wales",NA
2020-03-21,"Northern Ireland",265
2020-03-22,"East of England",91
2020-03-22,"London",1228
2020-03-22,"Midlands",379
2020-03-22,"North East & Yorkshire",158
2020-03-22,"North West",190
2020-03-22,"South East",408
2020-03-22,"South West",134
2020-03-22,"Scotland",NA
2020-03-22,"Wales",NA
2020-03-22,"Northern Ireland",281
2020-03-23,"East of England",131
2020-03-23,"London",1515
2020-03-23,"Midlands",436
2020-03-23,"North East & Yorkshire",190
2020-03-23,"North West",236
2020-03-23,"South East",449
2020-03-23,"South West",140
2020-03-23,"Scotland",NA
2020-03-23,"Wales",NA
2020-03-23,"Northern Ireland",309
2020-03-24,"East of England",150
2020-03-24,"London",1651
2020-03-24,"Midlands",581
2020-03-24,"North East & Yorkshire",228
2020-03-24,"North West",250
2020-03-24,"South East",469
2020-03-24,"South West",163
2020-03-24,"Scotland",NA
2020-03-24,"Wales",NA
2020-03-24,"Northern Ireland",329
2020-03-25,"East of England",192
2020-03-25,"London",1974
2020-03-25,"Midlands",688
2020-03-25,"North East & Yorkshire",309
2020-03-25,"North West",332
2020-03-25,"South East",567
2020-03-25,"South West",200
2020-03-25,"Scotland",NA
2020-03-25,"Wales",NA
2020-03-25,"Northern Ireland",377
2020-03-26,"East of England",290
2020-03-26,"London",2158
2020-03-26,"Midlands",964
2020-03-26,"North East & Yorkshire",426
2020-03-26,"North West",372
2020-03-26,"South East",599
2020-03-26,"South West",236
2020-03-26,"Scotland",NA
2020-03-26,"Wales",411
2020-03-26,"Northern Ireland",425
2020-03-27,"East of England",336
2020-03-27,"London",2727
2020-03-27,"Midlands",1054
2020-03-27,"North East & Yorkshire",532
2020-03-27,"North West",548
2020-03-27,"South East",744
2020-03-27,"South West",304
2020-03-27,"Scotland",404
2020-03-27,"Wales",451
2020-03-27,"Northern Ireland",469
2020-03-28,"East of England",423
2020-03-28,"London",3002
2020-03-28,"Midlands",1117
2020-03-28,"North East & Yorkshire",677
2020-03-28,"North West",654
2020-03-28,"South East",802
2020-03-28,"South West",342
2020-03-28,"Scotland",511
2020-03-28,"Wales",552
2020-03-28,"Northern Ireland",535
2020-03-29,"East of England",475
2020-03-29,"London",3334
2020-03-29,"Midlands",1312
2020-03-29,"North East & Yorkshire",804
2020-03-29,"North West",809
2020-03-29,"South East",1008
2020-03-29,"South West",401
2020-03-29,"Scotland",565
2020-03-29,"Wales",535
2020-03-29,"Northern Ireland",560
2020-03-30,"East of England",617
2020-03-30,"London",3492
2020-03-30,"Midlands",1799
2020-03-30,"North East & Yorkshire",963
2020-03-30,"North West",964
2020-03-30,"South East",1208
2020-03-30,"South West",455
2020-03-30,"Scotland",627
2020-03-30,"Wales",625
2020-03-30,"Northern Ireland",595
2020-03-31,"East of England",779
2020-03-31,"London",3915
2020-03-31,"Midlands",1918
2020-03-31,"North East & Yorkshire",1085
2020-03-31,"North West",1110
2020-03-31,"South East",1469
2020-03-31,"South West",491
2020-03-31,"Scotland",752
2020-03-31,"Wales",781
2020-03-31,"Northern Ireland",627
2020-04-01,"East of England",812
2020-04-01,"London",4012
2020-04-01,"Midlands",2138
2020-04-01,"North East & Yorkshire",1254
2020-04-01,"North West",1392
2020-04-01,"South East",1368
2020-04-01,"South West",564
2020-04-01,"Scotland",815
2020-04-01,"Wales",882
2020-04-01,"Northern Ireland",668
2020-04-02,"East of England",796
2020-04-02,"London",4009
2020-04-02,"Midlands",1729
2020-04-02,"North East & Yorkshire",1319
2020-04-02,"North West",1476
2020-04-02,"South East",1614
2020-04-02,"South West",590
