Date,England,Scotland,Wales,Northern Ireland,UK
2/4/2020,"1,494",162,110,47,"1,813"
3/4/2020,"1,788",176,110,46,"2,120"
4/4/2020,"1,950",192,122,45,"2,309"
5/4/2020,"2,097",197,131,44,"2,469"
6/4/2020,"2,264",199,137,44,"2,644"
7/4/2020,"2,472",199,144,49,"2,864"
8/4/2020,"2,561",210,150,46,"2,967"
9/4/2020,"2,546",212,161,44,"2,963"
10/4/2020,"2,820",207,153,48,"3,228"
11/4/2020,"2,865",212,149,48,"3,274"
12/4/2020,"2,881",221,153,46,"3,301"
13/4/2020,"2,872",211,155,40,"3,278"
14/4/2020,"2,849",196,151,43,"3,239"
15/4/2020,"2,847",195,150,40,"3,232"
16/4/2020,"2,838",196,155,37,"3,226"
17/4/2020,"2,780",189,159,39,"3,167"
18/4/2020,"2,868",182,164,39,"3,253"
19/4/2020,"2,820",174,153,31,"3,178"
20/4/2020,"2,780",169,150,36,"3,135"
21/4/2020,"2,701",166,135,39,"3,041"
22/4/2020,"2,646",155,132,33,"2,966"
23/4/2020,"2,563",148,123,33,"2,867"
24/4/2020,"2,414",141,119,29,"2,703"
25/4/2020,"2,405",140,126,32,"2,703"
26/4/2020,"2,309",133,111,28,"2,581"
27/4/2020,"2,194",134,106,28,"2,462"
28/4/2020,"2,093",126,108,28,"2,355"
29/4/2020,"2,045",114,101,28,"2,288"
30/4/2020,"1,991",109,99,32,"2,231"
1/5/2020,"1,954",110,92,29,"2,185"
2/5/2020,"1,844",108,93,26,"2,071"
3/5/2020,"1,795",99,94,27,"2,015"
4/5/2020,"1,724",99,92,26,"1,941"
5/5/2020,"1,662",104,87,25,"1,878"
6/5/2020,"1,610",89,81,24,"1,804"
7/5/2020,"1,493",86,84,26,"1,689"
8/5/2020,"1,446",84,89,27,"1,646"
9/5/2020,"1,398",93,75,22,"1,588"
10/5/2020,"1,362",82,78,20,"1,542"
11/5/2020,"1,316",80,76,15,"1,487"
12/5/2020,"1,247",81,72,18,"1,418"
13/5/2020,"1,198",66,66,15,"1,345"
14/5/2020,"1,162",71,69,13,"1,315"
15/5/2020,"1,200",71,56,11,"1,338"
16/5/2020,"1,101",59,62,14,"1,236"
17/5/2020,"1,064",59,60,14,"1,197"
18/5/2020,"1,010",63,59,11,"1,143"
19/5/2020,976,59,64,9,"1,108"
20/5/2020,921,53,55,9,"1,038"
21/5/2020,894,51,57,8,"1,010"
22/5/2020,852,50,58,7,967
23/5/2020,815,50,58,6,929
24/5/2020,786,44,52,7,889
25/5/2020,771,40,47,10,868
26/5/2020,756,35,51,6,848
27/5/2020,696,38,44,5,783
28/5/2020,663,37,46,5,751
29/5/2020,630,40,45,5,720
30/5/2020,628,33,39,5,705
31/5/2020,606,27,42,6,681
1/6/2020,584,27,37,5,653
2/6/2020,553,34,44,7,638
3/6/2020,523,34,42,5,604
4/6/2020,494,28,42,7,571
5/6/2020,481,23,44,8,556
6/6/2020,473,20,41,8,542
7/6/2020,448,25,38,5,516
8/6/2020,443,24,38,8,513
9/6/2020,427,21,40,4,492
10/6/2020,384,18,32,6,440
11/6/2020,334,21,29,8,392
12/6/2020,336,23,29,7,395
13/6/2020,339,20,27,6,392
14/6/2020,343,15,31,4,393
15/6/2020,327,18,36,4,385
