"provided","standard"
"Snohomish","Snohomish"
"Cook","Cook"
"Orange","Orange"
"Maricopa","Maricopa"
"Los Angeles","Los Angeles"
"Santa Clara","Santa Clara"
"Suffolk","Suffolk"
"San Francisco","San Francisco"
"Dane","Dane"
"San Diego","San Diego"
"Bexar","Bexar"
"Douglas","Douglas"
"Humboldt","Humboldt"
"Sacramento","Sacramento"
"Solano","Solano"
"Spokane","Spokane"
"Salt Lake","Salt Lake"
"Marin","Marin"
"Napa","Napa"
"Sonoma","Sonoma"
"Washington","Washington"
"King","King"
"Alameda","Alameda"
"Hillsborough","Hillsborough"
"Manatee","Manatee"
"New York City","New York City"
"Unknown","Unknown"
"Placer","Placer"
"San Mateo","San Mateo"
"Fulton","Fulton"
"Norfolk","Norfolk"
"Grafton","Grafton"
"Walla Walla","Walla Walla"
"Contra Costa","Contra Costa"
"Wake","Wake"
"Bergen","Bergen"
"Westchester","Westchester"
"Fort Bend","Fort Bend"
"Chelan","Chelan"
"Jefferson","Jefferson"
"Santa Rosa","Santa Rosa"
"Montgomery","Montgomery"
"Middlesex","Middlesex"
"Clark","Clark"
"Washoe","Washoe"
"Nassau","Nassau"
"Williamson","Williamson"
"Harris","Harris"
"Pinal","Pinal"
"Yolo","Yolo"
"Denver","Denver"
"Eagle","Eagle"
"El Paso","El Paso"
"Broward","Broward"
"Lee","Lee"
"Polk","Polk"
"Honolulu","Honolulu"
"Marion","Marion"
"Fayette","Fayette"
"Ramsey","Ramsey"
"Camden","Camden"
"Rockland","Rockland"
"Chatham","Chatham"
"Tulsa","Tulsa"
"Delaware","Delaware"
"Wayne","Wayne"
"Charleston","Charleston"
"Kershaw","Kershaw"
"Davis","Davis"
"Pierce","Pierce"
"Fresno","Fresno"
"Madera","Madera"
"Riverside","Riverside"
"Santa Cruz","Santa Cruz"
"District of Columbia","District of Columbia"
"Charlotte","Charlotte"
"Okaloosa","Okaloosa"
"Volusia","Volusia"
"Cobb","Cobb"
"Gwinnett","Gwinnett"
"Johnson","Johnson"
"Berkshire","Berkshire"
"St. Louis","St. Louis"
"Rockingham","Rockingham"
"Saratoga","Saratoga"
"Jackson","Jackson"
"Klamath","Klamath"
"Bennington","Bennington"
"Fairfax","Fairfax"
"Kittitas","Kittitas"
"Fairfield","Fairfield"
"Cherokee","Cherokee"
"Hendricks","Hendricks"
"Harrison","Harrison"
"Harford","Harford"
"Worcester","Worcester"
"Carver","Carver"
"Passaic","Passaic"
"Ulster","Ulster"
"Spartanburg","Spartanburg"
"Davidson","Davidson"
"Shelby","Shelby"
"Kitsap","Kitsap"
"Pima","Pima"
"Shasta","Shasta"
"Arapahoe","Arapahoe"
"Larimer","Larimer"
"DeKalb","DeKalb"
"Floyd","Floyd"
"Noble","Noble"
"Pottawattamie","Pottawattamie"
"Prince George's","Prince George's"
"Hudson","Hudson"
"Monmouth","Monmouth"
"Union","Union"
"Cuyahoga","Cuyahoga"
"Monroe","Monroe"
"Collin","Collin"
"Virginia Beach city","Virginia Beach city"
"San Joaquin","San Joaquin"
"Ventura","Ventura"
"Gunnison","Gunnison"
"Alachua","Alachua"
"Collier","Collier"
"Pasco","Pasco"
"Pinellas","Pinellas"
"Charlton","Charlton"
"Kane","Kane"
"McHenry","McHenry"
"Adams","Adams"
"Boone","Boone"
"Orleans","Orleans"
"Essex","Essex"
"Oakland","Oakland"
"Anoka","Anoka"
"Burlington","Burlington"
"Multnomah","Multnomah"
"Philadelphia","Philadelphia"
"Beadle","Beadle"
"Charles Mix","Charles Mix"
"Davison","Davison"
"Minnehaha","Minnehaha"
"Sullivan","Sullivan"
"Dallas","Dallas"
"Tarrant","Tarrant"
"Weber","Weber"
"Loudoun","Loudoun"
"Skagit","Skagit"
"Whatcom","Whatcom"
"Stanislaus","Stanislaus"
"Pitkin","Pitkin"
"New Castle","New Castle"
"Miami-Dade","Miami-Dade"
"St. Johns","St. Johns"
"Bartow","Bartow"
"Lowndes","Lowndes"
"Lake","Lake"
"Howard","Howard"
"St. Joseph","St. Joseph"
"Caddo","Caddo"
"Baltimore","Baltimore"
"Olmsted","Olmsted"
"Forrest","Forrest"
"Bernalillo","Bernalillo"
