"provided","standard"
"Perry","Perry"
"Pike","Pike"
"Powell","Powell"
"Pulaski","Pulaski"
"Rockcastle","Rockcastle"
"Rowan","Rowan"
"Russell","Russell"
"Scott","Scott"
"Shelby","Shelby"
"Simpson","Simpson"
"Spencer","Spencer"
"Taylor","Taylor"
"Todd","Todd"
"Trigg","Trigg"
"Trimble","Trimble"
"Union","Union"
"Unknown","Unknown"
"Warren","Warren"
"Washington","Washington"
"Wayne","Wayne"
"Webster","Webster"
"Whitley","Whitley"
"Woodford","Woodford"
"Acadia","Acadia"
"Allen","Allen"
"Ascension","Ascension"
"Assumption","Assumption"
"Avoyelles","Avoyelles"
"Beauregard","Beauregard"
"Bienville","Bienville"
"Bossier","Bossier"
"Caddo","Caddo"
"Calcasieu","Calcasieu"
"Caldwell","Caldwell"
"Cameron","Cameron"
"Catahoula","Catahoula"
"Claiborne","Claiborne"
"Concordia","Concordia"
"De Soto","De Soto"
"East Baton Rouge","East Baton Rouge"
"East Carroll","East Carroll"
"East Feliciana","East Feliciana"
"Evangeline","Evangeline"
"Franklin","Franklin"
"Grant","Grant"
"Iberia","Iberia"
"Iberville","Iberville"
"Jackson","Jackson"
"Jefferson","Jefferson"
"Jefferson Davis","Jefferson Davis"
"LaSalle","LaSalle"
"Lafayette","Lafayette"
"Lafourche","Lafourche"
"Lincoln","Lincoln"
"Livingston","Livingston"
"Madison","Madison"
"Morehouse","Morehouse"
"Natchitoches","Natchitoches"
"Orleans","Orleans"
"Ouachita","Ouachita"
"Plaquemines","Plaquemines"
"Pointe Coupee","Pointe Coupee"
"Rapides","Rapides"
"Red River","Red River"
"Richland","Richland"
"Sabine","Sabine"
"St. Bernard","St. Bernard"
"St. Charles","St. Charles"
"St. Helena","St. Helena"
"St. James","St. James"
"St. John the Baptist","St. John the Baptist"
"St. Landry","St. Landry"
"St. Martin","St. Martin"
"St. Mary","St. Mary"
"St. Tammany","St. Tammany"
"Tangipahoa","Tangipahoa"
"Tensas","Tensas"
"Terrebonne","Terrebonne"
"Vermilion","Vermilion"
"Vernon","Vernon"
"West Baton Rouge","West Baton Rouge"
"West Carroll","West Carroll"
"West Feliciana","West Feliciana"
"Winn","Winn"
"Androscoggin","Androscoggin"
"Aroostook","Aroostook"
"Cumberland","Cumberland"
"Hancock","Hancock"
"Kennebec","Kennebec"
"Knox","Knox"
"Oxford","Oxford"
"Penobscot","Penobscot"
"Sagadahoc","Sagadahoc"
"Somerset","Somerset"
"Waldo","Waldo"
"York","York"
"Allegany","Allegany"
"Anne Arundel","Anne Arundel"
"Baltimore","Baltimore"
"Baltimore city","Baltimore city"
"Calvert","Calvert"
"Caroline","Caroline"
"Carroll","Carroll"
"Cecil","Cecil"
"Charles","Charles"
"Dorchester","Dorchester"
"Frederick","Frederick"
"Garrett","Garrett"
"Harford","Harford"
"Howard","Howard"
"Kent","Kent"
"Montgomery","Montgomery"
"Prince George's","Prince George's"
"Queen Anne's","Queen Anne's"
"St. Mary's","St. Mary's"
"Talbot","Talbot"
"Wicomico","Wicomico"
"Worcester","Worcester"
"Barnstable","Barnstable"
"Berkshire","Berkshire"
"Bristol","Bristol"
"Dukes","Dukes"
