"provided","standard"
"Kentucky","Kentucky"
"Louisiana","Louisiana"
"Maine","Maine"
"Maryland","Maryland"
"Massachusetts","Massachusetts"
"Michigan","Michigan"
"Minnesota","Minnesota"
"Mississippi","Mississippi"
"Missouri","Missouri"
"Montana","Montana"
"Nebraska","Nebraska"
"Nevada","Nevada"
"New Hampshire","New Hampshire"
"New Jersey","New Jersey"
"New Mexico","New Mexico"
"New York","New York"
"North Carolina","North Carolina"
"North Dakota","North Dakota"
"Northern Mariana Islands","Northern Mariana Islands"
"Ohio","Ohio"
"Oklahoma","Oklahoma"
"Oregon","Oregon"
"Pennsylvania","Pennsylvania"
"Puerto Rico","Puerto Rico"
"Rhode Island","Rhode Island"
"South Carolina","South Carolina"
"South Dakota","South Dakota"
"Tennessee","Tennessee"
"Texas","Texas"
"Utah","Utah"
"Vermont","Vermont"
"Virgin Islands","Virgin Islands"
"Virginia","Virginia"
"Washington","Washington"
"West Virginia","West Virginia"
"Wisconsin","Wisconsin"
"Wyoming","Wyoming"
"Alabama","Alabama"
"Alaska","Alaska"
"Arizona","Arizona"
"Arkansas","Arkansas"
"California","California"
"Colorado","Colorado"
"Connecticut","Connecticut"
"Delaware","Delaware"
"District of Columbia","District of Columbia"
"Florida","Florida"
"Georgia","Georgia"
"Guam","Guam"
"Hawaii","Hawaii"
"Idaho","Idaho"
"Illinois","Illinois"
"Indiana","Indiana"
"Iowa","Iowa"
"Kansas","Kansas"
