"provided","standard","term_id","units","units_id","value_mapping_file","notes"
"case_count","case_count","STATO:0000047",NA,NA,NA,NA
"clinical_finding","clinical_data_item","OGMS:0000123",NA,NA,"clinical_finding_levels.csv",NA
"date","date",NA,NA,NA,NA,NA
"state","geographic_location","GAZ:00000448",NA,NA,"state_levels.csv",NA
"positive","positive",NA,NA,NA,NA,NA
"negative","negative",NA,NA,NA,NA,NA
"pending","pending",NA,NA,NA,NA,NA
"hospitalizedcurrently","hospitalizedcurrently",NA,NA,NA,NA,NA
"hospitalizedcumulative","hospitalizedcumulative",NA,NA,NA,NA,NA
"inicucurrently","inicucurrently",NA,NA,NA,NA,NA
"inicucumulative","inicucumulative",NA,NA,NA,NA,NA
"onventilatorcurrently","onventilatorcurrently",NA,NA,NA,NA,NA
"onventilatorcumulative","onventilatorcumulative",NA,NA,NA,NA,NA
"recovered","recovered",NA,NA,NA,NA,NA
"dataqualitygrade","dataqualitygrade",NA,NA,NA,NA,NA
"lastupdateet","lastupdateet",NA,NA,NA,NA,NA
"hash","hash",NA,NA,NA,"hash_levels.csv",NA
"datechecked","datechecked",NA,NA,NA,NA,NA
"death","death",NA,NA,NA,NA,NA
"hospitalized","hospitalized",NA,NA,NA,NA,NA
"total","total",NA,NA,NA,NA,NA
"totaltestresults","totaltestresults",NA,NA,NA,NA,NA
"posneg","posneg",NA,NA,NA,NA,NA
"fips","fips",NA,NA,NA,"fips_levels.csv",NA
"hopitalizedincrease","hopitalizedincrease",NA,NA,NA,NA,NA
"negativeincrease","negativeincrease",NA,NA,NA,NA,NA
"totaltestresultsincrease","totaltestresultsincrease",NA,NA,NA,NA,NA
