case_count,clinical_finding,date,state,positive,negative,pending,hospitalizedcurrently,hospitalizedcumulative,inicucurrently,inicucumulative,onventilatorcurrently,onventilatorcumulative,recovered,dataqualitygrade,lastupdateet,hash,datechecked,death,hospitalized,total,totaltestresults,posneg,fips,hospitalizedincrease,negativeincrease,totaltestresultsincrease
3,positiveincrease,2020-05-20,AK,402,36643,,16,,,,,,352,C,2020-05-20 00:00:00,fbd2c4d7f2f9bb5886519ca013a5582d05a2322c,2020-05-20 20:00:00,10,,37045,37045,37045,2,0,662,665
368,positiveincrease,2020-05-20,AL,12744,151706,,,1493,,524,,309,,B,2020-05-19 00:00:00,fc74b5a0d85554eb568628788cfab89828235631,2020-05-20 20:00:00,517,1493,164450,164450,164450,1,40,6516,6884
80,positiveincrease,2020-05-20,AR,5003,91255,,78,535,,,14,101,3852,A,2020-05-20 00:00:00,8cf09ad59fe07fd22c8d7872f13e6a89e2330024,2020-05-20 20:00:00,107,535,96258,96258,96258,5,0,2477,2557
0,positiveincrease,2020-05-20,AS,0,124,,,,,,,,,D,2020-05-19 00:00:00,b17187aa654adddc868eec1438cbfceb53964c13,2020-05-20 20:00:00,0,,124,124,124,60,0,0,0
331,positiveincrease,2020-05-20,AZ,14897,150538,,810,1792,298,,208,,3773,A+,2020-05-20 00:00:00,b1b84c773495f600cdad6b1e420d1c25d58354cc,2020-05-20 20:00:00,747,1792,165435,165435,165435,4,46,3533,3864
2262,positiveincrease,2020-05-20,CA,84057,1296063,,4681,,1345,,,,,B,2020-05-20 00:00:00,6be7a20ccb8deab94178b9db3e70d2c1cf2147c7,2020-05-20 20:00:00,3436,,1380120,1380120,1380120,6,0,38542,40804
280,positiveincrease,2020-05-20,CO,22482,109355,,626,3955,,,,,3478,A,2020-05-20 00:00:00,f1e624518c3e0cbb8a82aeffa19010138d94fbfe,2020-05-20 20:00:00,1257,3955,131837,131837,131837,8,56,224,504
587,positiveincrease,2020-05-20,CT,39017,151701,,887,10946,,,,,6264,B,2020-05-20 16:00:00,09a1fb75d7a153b27aff1fabc601dc6f894b5e33,2020-05-20 20:00:00,3529,10946,190718,190718,190718,9,0,4611,5198
117,positiveincrease,2020-05-20,DC,7551,32868,,336,,,,74,,1059,A,2020-05-19 00:00:00,c104161c3fde2a6cf053ad4c9dfcf42bd6a30c39,2020-05-20 20:00:00,407,,40419,40419,40419,11,0,928,1045
157,positiveincrease,2020-05-20,DE,8194,37218,,220,,,,,,3965,B,2020-05-19 18:00:00,1238d97d6d08b453fa60c798055bd71e6968c2f6,2020-05-20 20:00:00,310,,45412,45412,45412,10,0,1123,1280
