"provided","standard","term_id","units","units_id","value_mapping_file","notes"
"case_count","case_count","STATO:0000047",NA,NA,NA,NA
"clinical_finding","clinical_finding","OGMS:0000014",NA,NA,NA,NA
"iso_code","iso_code",NA,NA,NA,NA,NA
"continent","continent",NA,NA,NA,NA,NA
"location","location","GAZ:00000448",NA,NA,NA,NA
"date","date",NA,NA,NA,NA,NA
"total_cases","total_cases",NA,NA,NA,NA,NA
"total_deaths","total_deaths",NA,NA,NA,NA,NA
"total_cases_per_million","total_cases_per_million",NA,NA,NA,NA,NA
"new_cases_per_million","new_cases_per_million",NA,NA,NA,NA,NA
"total_deaths_per_million","total_deaths_per_million",NA,NA,NA,NA,NA
"new_deaths_per_million","new_deaths_per_million",NA,NA,NA,NA,NA
"total_tests","total_tests",NA,NA,NA,NA,NA
"new_tests","new_tests",NA,NA,NA,NA,NA
"total_tests_per_thousand","total_tests_per_thousand",NA,NA,NA,NA,NA
"new_tests_per_thousand","new_tests_per_thousand",NA,NA,NA,NA,NA
"new_tests_per_thousand","new_tests_per_thousand",NA,NA,NA,NA,NA
"new_tests_smoothed","new_tests_smoothed",NA,NA,NA,NA,NA
"new_tests_smoothed_per_thousand","new_tests_smoothed_per_thousand",NA,NA,NA,NA,NA
"tests_unit","tests_unit",NA,NA,NA,NA,NA
"stringency_index","stringency_index",NA,NA,NA,NA,NA
"population","population",NA,NA,NA,NA,NA
"population_density","population_density",NA,NA,NA,NA,NA
"median_age","median_age",NA,NA,NA,NA,NA
"aged_65_older","aged_65_older",NA,NA,NA,NA,NA
"aged_70_older","aged_70_older",NA,NA,NA,NA,NA
"gdp_per_capita","gdp_per_capita",NA,NA,NA,NA,NA
"extreme_poverty","extreme_poverty",NA,NA,NA,NA,NA
"cvd_death_rate","cvd_death_rate",NA,NA,NA,NA,NA
"diabetes_prevalence","diabetes_prevalence",NA,NA,NA,NA,NA
"female_smokers","female_smokers",NA,NA,NA,NA,NA
"male_smokers","male_smokers",NA,NA,NA,NA,NA
"handwashing_facilities","handwashing_facilities",NA,NA,NA,NA,NA
"hospital_beds_per_thousand","hospital_beds_per_thousand",NA,NA,NA,NA,NA
