"provided","standard"
"AFG","AFG"
"ALB","ALB"
"DZA","DZA"
"AND","AND"
"AGO","AGO"
"AIA","AIA"
"ATG","ATG"
"ARG","ARG"
"ARM","ARM"
"ABW","ABW"
"AUS","AUS"
"AUT","AUT"
"AZE","AZE"
"BHS","BHS"
"BHR","BHR"
"BGD","BGD"
"BRB","BRB"
"BLR","BLR"
"BEL","BEL"
"BLZ","BLZ"
"BEN","BEN"
"BMU","BMU"
"BTN","BTN"
"BOL","BOL"
"BES","BES"
"BIH","BIH"
"BWA","BWA"
"BRA","BRA"
"VGB","VGB"
"BRN","BRN"
"BGR","BGR"
"BFA","BFA"
"BDI","BDI"
"KHM","KHM"
"CMR","CMR"
"CAN","CAN"
"CPV","CPV"
"CYM","CYM"
"CAF","CAF"
"TCD","TCD"
"CHL","CHL"
"CHN","CHN"
"COL","COL"
"COM","COM"
"COG","COG"
"CRI","CRI"
"CIV","CIV"
"HRV","HRV"
"CUB","CUB"
"CUW","CUW"
"CYP","CYP"
"CZE","CZE"
"COD","COD"
"DNK","DNK"
"DJI","DJI"
"DMA","DMA"
"DOM","DOM"
"ECU","ECU"
"EGY","EGY"
"SLV","SLV"
"GNQ","GNQ"
"ERI","ERI"
"EST","EST"
"ETH","ETH"
"FRO","FRO"
"FLK","FLK"
"FJI","FJI"
"FIN","FIN"
"FRA","FRA"
"PYF","PYF"
"GAB","GAB"
"GMB","GMB"
"GEO","GEO"
"DEU","DEU"
"GHA","GHA"
"GIB","GIB"
"GRC","GRC"
"GRL","GRL"
"GRD","GRD"
"GUM","GUM"
"GTM","GTM"
"GGY","GGY"
"GIN","GIN"
"GNB","GNB"
"GUY","GUY"
"HTI","HTI"
"HND","HND"
"HKG","HKG"
"HUN","HUN"
"ISL","ISL"
"IND","IND"
"IDN","IDN"
"IRN","IRN"
"IRQ","IRQ"
"IRL","IRL"
"IMN","IMN"
"ISR","ISR"
"ITA","ITA"
"JAM","JAM"
"JPN","JPN"
"JEY","JEY"
"JOR","JOR"
"KAZ","KAZ"
"KEN","KEN"
"OWID_KOS","OWID_KOS"
"KWT","KWT"
"KGZ","KGZ"
"LAO","LAO"
"LVA","LVA"
"LBN","LBN"
"LSO","LSO"
"LBR","LBR"
"LBY","LBY"
"LIE","LIE"
"LTU","LTU"
"LUX","LUX"
"MKD","MKD"
"MDG","MDG"
"MWI","MWI"
"MYS","MYS"
"MDV","MDV"
"MLI","MLI"
"MLT","MLT"
"MRT","MRT"
"MUS","MUS"
"MEX","MEX"
"MDA","MDA"
"MCO","MCO"
"MNG","MNG"
"MNE","MNE"
"MSR","MSR"
"MAR","MAR"
"MOZ","MOZ"
"MMR","MMR"
"NAM","NAM"
"NPL","NPL"
"NLD","NLD"
"NCL","NCL"
"NZL","NZL"
"NIC","NIC"
"NER","NER"
"NGA","NGA"
"MNP","MNP"
"NOR","NOR"
"OMN","OMN"
"PAK","PAK"
"PSE","PSE"
"PAN","PAN"
"PNG","PNG"
"PRY","PRY"
"PER","PER"
"PHL","PHL"
"POL","POL"
"PRT","PRT"
"PRI","PRI"
"QAT","QAT"
"ROU","ROU"
"RUS","RUS"
"RWA","RWA"
"KNA","KNA"
"LCA","LCA"
"VCT","VCT"
"SMR","SMR"
"STP","STP"
"SAU","SAU"
"SEN","SEN"
"SRB","SRB"
"SYC","SYC"
"SLE","SLE"
"SGP","SGP"
"SXM","SXM"
"SVK","SVK"
"SVN","SVN"
"SOM","SOM"
"ZAF","ZAF"
"KOR","KOR"
"SSD","SSD"
"ESP","ESP"
"LKA","LKA"
"SDN","SDN"
"SUR","SUR"
"SWZ","SWZ"
"SWE","SWE"
"CHE","CHE"
"SYR","SYR"
"TWN","TWN"
"TJK","TJK"
"TZA","TZA"
"THA","THA"
"TLS","TLS"
"TGO","TGO"
"TTO","TTO"
"TUN","TUN"
"TUR","TUR"
"TCA","TCA"
"UGA","UGA"
"UKR","UKR"
"ARE","ARE"
"GBR","GBR"
"USA","USA"
"VIR","VIR"
"URY","URY"
"UZB","UZB"
"VAT","VAT"
"VEN","VEN"
"VNM","VNM"
"ESH","ESH"
"YEM","YEM"
"ZMB","ZMB"
"ZWE","ZWE"
"OWID_WRL","OWID_WRL"
NA,NA
