"provided","standard"
"Afghanistan","Afghanistan"
"Albania","Albania"
"Algeria","Algeria"
"Andorra","Andorra"
"Angola","Angola"
"Anguilla","Anguilla"
"Antigua and Barbuda","Antigua and Barbuda"
"Argentina","Argentina"
"Armenia","Armenia"
"Aruba","Aruba"
"Australia","Australia"
"Austria","Austria"
"Azerbaijan","Azerbaijan"
"Bahamas","Bahamas"
"Bahrain","Bahrain"
"Bangladesh","Bangladesh"
"Barbados","Barbados"
"Belarus","Belarus"
"Belgium","Belgium"
"Belize","Belize"
"Benin","Benin"
"Bermuda","Bermuda"
"Bhutan","Bhutan"
"Bolivia","Bolivia"
"Bonaire Sint Eustatius and Saba","Bonaire Sint Eustatius and Saba"
"Bosnia and Herzegovina","Bosnia and Herzegovina"
"Botswana","Botswana"
"Brazil","Brazil"
"British Virgin Islands","British Virgin Islands"
"Brunei","Brunei"
"Bulgaria","Bulgaria"
"Burkina Faso","Burkina Faso"
"Burundi","Burundi"
"Cambodia","Cambodia"
"Cameroon","Cameroon"
"Canada","Canada"
"Cape Verde","Cape Verde"
"Cayman Islands","Cayman Islands"
"Central African Republic","Central African Republic"
"Chad","Chad"
"Chile","Chile"
"China","China"
"Colombia","Colombia"
"Comoros","Comoros"
"Congo","Congo"
"Costa Rica","Costa Rica"
"Cote d'Ivoire","Cote d'Ivoire"
"Croatia","Croatia"
"Cuba","Cuba"
"Curacao","Curacao"
"Cyprus","Cyprus"
"Czech Republic","Czech Republic"
"Democratic Republic of Congo","Democratic Republic of Congo"
"Denmark","Denmark"
"Djibouti","Djibouti"
"Dominica","Dominica"
"Dominican Republic","Dominican Republic"
"Ecuador","Ecuador"
"Egypt","Egypt"
"El Salvador","El Salvador"
"Equatorial Guinea","Equatorial Guinea"
"Eritrea","Eritrea"
"Estonia","Estonia"
"Ethiopia","Ethiopia"
"Faeroe Islands","Faeroe Islands"
"Falkland Islands","Falkland Islands"
"Fiji","Fiji"
"Finland","Finland"
"France","France"
"French Polynesia","French Polynesia"
"Gabon","Gabon"
"Gambia","Gambia"
"Georgia","Georgia"
"Germany","Germany"
"Ghana","Ghana"
"Gibraltar","Gibraltar"
"Greece","Greece"
"Greenland","Greenland"
"Grenada","Grenada"
"Guam","Guam"
"Guatemala","Guatemala"
"Guernsey","Guernsey"
"Guinea","Guinea"
"Guinea-Bissau","Guinea-Bissau"
"Guyana","Guyana"
"Haiti","Haiti"
"Honduras","Honduras"
"Hong Kong","Hong Kong"
"Hungary","Hungary"
"Iceland","Iceland"
"India","India"
"Indonesia","Indonesia"
"Iran","Iran"
"Iraq","Iraq"
"Ireland","Ireland"
"Isle of Man","Isle of Man"
"Israel","Israel"
"Italy","Italy"
"Jamaica","Jamaica"
"Japan","Japan"
"Jersey","Jersey"
"Jordan","Jordan"
"Kazakhstan","Kazakhstan"
"Kenya","Kenya"
"Kosovo","Kosovo"
"Kuwait","Kuwait"
"Kyrgyzstan","Kyrgyzstan"
"Laos","Laos"
"Latvia","Latvia"
"Lebanon","Lebanon"
"Lesotho","Lesotho"
"Liberia","Liberia"
"Libya","Libya"
"Liechtenstein","Liechtenstein"
"Lithuania","Lithuania"
"Luxembourg","Luxembourg"
"Macedonia","Macedonia"
"Madagascar","Madagascar"
"Malawi","Malawi"
"Malaysia","Malaysia"
"Maldives","Maldives"
"Mali","Mali"
"Malta","Malta"
"Mauritania","Mauritania"
